Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
2	-4.8000	-4.6000	0.0234	0.0000	0.0000	0.0234	0.0000	0.0000	100.0000	21.9883	31.3017	102.3889	104.7845	31.2812	0.5061	1.0146	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	0.0363	0.0000	0.0000	0.0363	0.0000	0.0000	100.0000	1.1338	28.9208	100.0064	104.0981	28.8985	0.5061	1.0146	0.0000	0.0000	0.0000	0.0000
7	-3.8000	-3.6000	0.1461	0.0000	0.0000	0.1447	0.0000	0.0013	99.0879	26.7796	46.6782	102.6428	109.5320	46.6660	0.5014	0.9403	0.0000	0.0000	0.0000	0.0000
8	-3.6000	-3.4000	0.0027	0.0000	0.0000	0.0000	0.0000	0.0027	100.0000	8.3711	27.0410	100.3498	103.5916	27.0340	0.3972	0.4689	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	0.0051	0.0000	0.0000	0.0051	0.0000	0.0000	463.6537	23.6841	53.6856	464.2582	466.7515	53.6031	0.8711	2.8442	0.0000	0.0000	0.0000	0.0000
10	-3.2000	-3.0000	0.0043	0.0000	0.0000	0.0002	0.0000	0.0041	565.5349	40.0366	166.6798	566.9504	589.5862	166.6778	0.5061	0.6511	0.0000	0.0000	0.0000	0.0000
11	-3.0000	-2.8000	0.0717	0.0000	0.0000	0.0342	0.0108	0.0267	52.4474	24.1309	22.3922	57.7324	57.0275	24.1126	0.4655	0.8173	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	0.0865	0.0000	0.0000	0.0868	0.0000	-0.0003	57.6707	2.7955	10.0238	57.7384	58.5354	9.9465	0.4818	1.1453	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	0.1016	0.0000	0.0000	0.0997	0.0000	0.0019	44.3281	33.3599	30.7789	55.4785	53.9659	33.3426	0.5046	0.9476	0.0311	0.0000	0.0000	0.0000
14	-2.4000	-2.2000	0.2074	1.0000	0.0000	0.1978	0.0000	0.0096	46.1059	12.6956	25.4698	47.8219	52.6732	25.4528	0.4417	0.8203	0.0022	0.0000	0.0000	0.0000
15	-2.2000	-2.0000	0.1849	0.0000	0.0000	0.1827	0.0000	0.0022	42.5819	3.3819	8.3352	42.7160	43.3900	8.1656	0.4556	1.6095	0.0154	0.0000	0.0000	0.0000
16	-2.0000	-1.8000	0.2839	1.0000	0.0000	0.2758	0.0081	0.0000	36.5559	1.1702	4.9328	36.5746	36.8872	4.7920	0.4150	1.0941	0.0000	0.0000	0.0000	0.0000
17	-1.8000	-1.6000	0.1478	0.0000	0.0015	0.1342	0.0000	0.0122	48.6813	20.2802	21.8388	52.7366	53.3554	21.5764	0.3972	3.3518	0.0000	0.0000	0.0000	0.0000
18	-1.6000	-1.4000	0.2884	1.0000	0.0000	0.2361	0.0182	0.0341	28.3383	23.6108	26.5789	36.8854	38.8522	26.3158	0.4041	3.7088	0.0138	0.0000	0.0000	0.0000
19	-1.4000	-1.2000	0.1692	0.0000	0.0000	0.1377	0.0136	0.0178	36.0071	8.3806	14.5561	36.9695	38.8380	14.5438	0.3972	0.4465	0.0056	0.0000	0.0000	0.0000
20	-1.2000	-1.0000	0.3589	1.0000	0.0000	0.3450	0.0000	0.0139	29.7546	8.0285	3.8203	30.8187	29.9988	7.7727	0.3972	1.9705	0.0027	0.0000	0.0000	0.0000
21	-1.0000	-0.8000	0.2807	2.0000	0.0000	0.2542	0.0000	0.0265	42.1296	13.9793	13.4898	44.3883	44.2366	8.8040	0.3972	10.8513	0.0000	0.0000	0.0000	0.0000
22	-0.8000	-0.6000	0.0570	0.0000	0.0000	0.0197	0.0189	0.0184	66.3758	21.4850	17.8765	69.7664	68.7409	20.3588	0.3972	6.8532	0.0000	0.0000	0.0000	0.0000
23	-0.6000	-0.4000	0.3027	0.0000	0.0002	0.2868	0.0067	0.0090	39.8623	18.2298	13.0572	43.8330	41.9463	16.6777	0.3972	7.3500	0.0067	0.0000	0.0000	0.0000
24	-0.4000	-0.2000	0.1339	0.0000	0.0000	0.1016	0.0051	0.0272	46.4607	6.4143	6.2222	46.9014	46.8755	5.6618	0.3972	2.9882	0.0037	0.0000	0.0000	0.0000
25	-0.2000	0.0000	1.7254	1.0000	1.3508	0.3688	0.0000	0.0059	78.6156	58.2589	54.0885	97.8495	95.4252	56.0856	0.3972	15.7593	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.2000	0.1769	1.0000	0.0000	0.1810	0.0000	-0.0041	36.4103	27.2098	20.8938	45.4542	41.9793	27.2033	0.3972	0.4471	0.0000	0.0000	0.0000	0.0000
27	0.2000	0.4000	0.4143	0.0000	0.0000	0.3947	0.0052	0.0144	27.9134	5.8262	7.3221	28.5150	28.8578	6.2855	0.4034	3.7341	0.0013	0.0000	0.0000	0.0000
28	0.4000	0.6000	0.0797	1.0000	0.0000	0.0790	0.0000	0.0007	114.9346	33.9195	62.4976	119.8352	130.8278	62.1702	0.3972	6.3761	0.0006	0.0000	0.0000	0.0000
29	0.6000	0.8000	0.4535	0.0000	0.0000	0.4424	0.0000	0.0112	37.4797	10.4280	21.0644	38.9033	42.9934	20.8452	0.4110	3.0031	0.0055	0.0000	0.0000	0.0000
30	0.8000	1.0000	0.1858	0.0000	0.0000	0.1330	0.0441	0.0087	42.7792	11.4439	14.9855	44.2835	45.3280	13.9237	0.3972	5.5261	0.0180	0.0000	0.0000	0.0000
31	1.0000	1.2000	0.2198	0.0000	0.0000	0.1631	0.0219	0.0348	33.7230	12.3333	12.7973	35.9075	36.0695	9.6756	0.3972	8.3664	0.0000	0.0000	0.0000	0.0000
32	1.2000	1.4000	0.2732	1.0000	0.0002	0.2730	0.0000	0.0000	39.0187	17.6277	19.0718	42.8158	43.4303	18.6587	0.3972	3.9278	0.0000	0.0000	0.0000	0.0000
33	1.4000	1.6000	0.1519	3.0000	0.0000	0.1405	0.0000	0.0114	38.8563	15.9703	19.2582	42.0102	43.3669	18.8313	0.3972	4.0125	0.0130	0.0000	0.0000	0.0000
34	1.6000	1.8000	0.0944	0.0000	0.0000	0.0885	0.0000	0.0059	55.0823	30.9292	28.1975	63.1718	61.8802	30.6469	0.3992	4.1499	0.0230	0.0000	0.0000	0.0000
35	1.8000	2.0000	0.0827	1.0000	0.0001	0.0687	0.0000	0.0139	77.9561	0.9071	14.0400	77.9614	79.2103	14.0107	0.4341	0.7966	0.0000	0.0000	0.0000	0.0000
36	2.0000	2.2000	0.2495	1.0000	0.0000	0.2236	0.0064	0.0194	34.1101	13.9671	8.4298	36.8589	35.1363	13.9382	0.4677	0.7658	0.0000	0.0000	0.0000	0.0000
37	2.2000	2.4000	0.1841	0.0000	0.0000	0.1772	0.0000	0.0069	43.9525	6.8606	15.8220	44.4847	46.7136	15.8012	0.4507	0.6737	0.0007	0.0000	0.0000	0.0000
38	2.4000	2.6000	0.1214	0.0000	0.0000	0.1185	0.0000	0.0029	42.0714	21.7795	28.3535	47.3746	50.7338	28.3369	0.4818	0.8411	0.0017	0.0000	0.0000	0.0000
