hist_name,bin_min,bin_max,scale_factor
LeadingTopJetPt_CR,300,400,1.38
LeadingTopJetPt_CR,400,480,1.05
LeadingTopJetPt_CR,480,500,1.02
LeadingTopJetPt_CR,500,600,0.92
LeadingJetPt_CR,30,50,1
LeadingJetPt_CR,50,70,1
LeadingJetPt_CR,70,90,1
LeadingJetPt_CR,90,120,1
LeadingJetPt_CR,120,150,1
LeadingJetPt_CR,150,5000,1
LeadingMuonPt_CR,50,75,1
LeadingMuonPt_CR,75,100,1
LeadingMuonPt_CR,100,125,1
LeadingMuonPt_CR,125,150,1
LeadingMuonPt_CR,150,175,1
LeadingMuonPt_CR,175,200,1
LeadingMuonPt_CR,200,5000,1
SubleadingMuonPt_CR,30,40,1
SubleadingMuonPt_CR,40,50,1
SubleadingMuonPt_CR,50,60,1
SubleadingMuonPt_CR,60,70,1
SubleadingMuonPt_CR,70,80,1
SubleadingMuonPt_CR,80,90,1
SubleadingMuonPt_CR,90,100,1
SubleadingMuonPt_CR,100,125,1
SubleadingMuonPt_CR,125,5000,1
