Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
1	50.0000	70.0000	20.5031	20.0000	0	13.1588	4.4311	2.9132	4.9497	0.9366	0.9733	5.0376	5.0445	0.5279	0.4244	0.6989	0.0000	0.0000	0.0000	0.0000
2	70.0000	90.0000	24.0388	28.0000	0	15.8750	3.7204	4.4434	5.2262	0.8980	1.0362	5.3028	5.3279	0.6214	0.4264	0.7113	0.0000	0.0000	0.0000	0.0000
3	90.0000	110.0000	21.1886	16.0000	0	16.9053	1.7605	2.5228	4.8634	1.6765	1.4322	5.1443	5.0699	1.4822	0.4199	0.6614	0.0000	0.0000	0.0000	0.0000
4	110.0000	130.0000	20.9377	16.0000	0	16.5162	1.6859	2.7356	5.0622	1.7213	1.6264	5.3468	5.3170	1.5360	0.4187	0.6545	0.0000	0.0000	0.0000	0.0000
5	130.0000	150.0000	17.5691	13.0000	0	13.9428	0.9478	2.6785	5.5564	1.7561	0.8539	5.8273	5.6216	1.5896	0.4156	0.6201	0.0000	0.0000	0.0000	0.0000
6	150.0000	170.0000	15.8743	12.0000	0	12.9683	0.8555	2.0505	5.3780	1.1386	0.7835	5.4972	5.4348	0.8261	0.4139	0.6653	0.0000	0.0000	0.0000	0.0000
7	170.0000	190.0000	13.3575	9.0000	0	9.9319	0.8171	2.6085	6.8246	0.9687	0.7285	6.8930	6.8634	0.6385	0.4130	0.6001	0.0000	0.0000	0.0000	0.0000
8	190.0000	210.0000	9.4267	7.0000	0	8.2227	0.2286	0.9755	6.7686	2.1930	1.7112	7.1150	6.9816	2.0639	0.4165	0.6131	0.0000	0.0000	0.0000	0.0000
9	210.0000	230.0000	8.0614	8.0000	0	6.3193	0.4032	1.3389	7.7958	3.2966	1.3569	8.4641	7.9130	3.2130	0.4074	0.6150	0.0000	0.0000	0.0000	0.0000
10	230.0000	250.0000	6.4203	3.0000	0	4.9387	0.1446	1.3369	10.5803	0.7538	2.6958	10.6071	10.9183	2.5921	0.4141	0.6137	0.0000	0.0000	0.0000	0.0000
11	250.0000	270.0000	5.4397	3.0000	0	4.2060	0.1196	1.1141	10.4124	6.5061	4.1877	12.2780	11.2230	6.4700	0.4020	0.5538	0.0000	0.0000	0.0000	0.0000
12	270.0000	290.0000	4.5201	4.0000	0	3.9267	0.0891	0.5043	11.6646	1.6286	1.2868	11.7778	11.7354	1.4520	0.4040	0.6169	0.0000	0.0000	0.0000	0.0000
13	290.0000	310.0000	2.6426	1.0000	0	2.5221	0.0010	0.1195	12.7853	0.8773	5.7956	12.8154	14.0376	5.7509	0.4102	0.5898	0.0000	0.0000	0.0000	0.0000
14	310.0000	330.0000	2.5345	0.0000	0	1.9355	0.0921	0.5068	13.8774	1.8452	1.1612	13.9996	13.9259	1.6968	0.4104	0.5978	0.0000	0.0000	0.0000	0.0000
15	330.0000	350.0000	1.5090	1.0000	0	0.9991	0.0009	0.5090	26.3957	3.8154	4.1198	26.6701	26.7153	4.0569	0.4004	0.5955	0.0000	0.0000	0.0000	0.0000
16	350.0000	370.0000	1.4165	0.0000	0	1.1161	0.0815	0.2190	19.2557	1.5012	2.6175	19.3142	19.4328	2.5263	0.4002	0.5560	0.0000	0.0000	0.0000	0.0000
17	370.0000	390.0000	1.1685	0.0000	0	0.8903	0.0813	0.1970	21.5212	19.6103	7.6355	29.1158	22.8356	19.5970	0.4073	0.5942	0.0000	0.0000	0.0000	0.0000
18	390.0000	410.0000	0.7077	1.0000	0	0.6908	0.0000	0.0169	21.8946	1.2868	1.3620	21.9324	21.9370	1.1783	0.4022	0.5521	0.0000	0.0000	0.0000	0.0000
19	410.0000	430.0000	0.3880	0.0000	0	0.3785	0.0000	0.0095	34.3037	4.4486	1.3299	34.5910	34.3295	4.3889	0.4052	0.6023	0.0000	0.0000	0.0000	0.0000
20	430.0000	450.0000	0.4257	0.0000	0	0.3762	0.0518	-0.0023	28.5768	6.1793	5.9746	29.2373	29.1947	6.1437	0.3969	0.5298	0.0000	0.0000	0.0000	0.0000
21	450.0000	470.0000	0.3735	0.0000	0	0.2766	0.0000	0.0969	36.6714	9.7637	8.1113	37.9489	37.5577	9.7411	0.3985	0.5299	0.0000	0.0000	0.0000	0.0000
22	470.0000	490.0000	0.3767	0.0000	0	0.1041	0.0105	0.2621	73.0122	0.7959	9.9842	73.0166	73.6917	9.9524	0.3988	0.6888	0.0000	0.0000	0.0000	0.0000
23	490.0000	500.0000	1.3557	1.0000	0	0.4407	0.0546	0.8605	36.5186	3.9982	4.5272	36.7368	36.7981	4.4780	0.4002	0.5315	0.0000	0.0000	0.0000	0.0000
