Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	6.4042	6.0000	0.0000	5.2639	0.1259	1.0144	9.3715	1.0433	1.5892	9.4294	9.5053
2	50.0000	100.0000	180.4264	184.0000	0.1047	155.3514	2.4867	22.4836	2.3156	0.9729	0.9749	2.5117	2.5124
3	100.0000	150.0000	301.6265	290.0000	0.0000	264.5187	4.3854	32.7225	1.2610	0.8835	1.0346	1.5397	1.6311
4	150.0000	200.0000	277.4141	243.0000	-1.9438	243.4686	3.2058	32.6835	1.5147	0.8447	0.8399	1.7343	1.7320
5	200.0000	250.0000	190.4022	193.0000	0.0000	164.9277	3.3272	22.1473	1.5790	0.8980	1.0484	1.8165	1.8953
6	250.0000	300.0000	116.3593	103.0000	3.4631	94.3110	0.6855	17.8997	2.9446	0.9276	0.8280	3.0873	3.0588
7	300.0000	350.0000	62.8049	56.0000	0.0000	51.5755	0.8357	10.3937	2.8630	1.0001	1.3394	3.0326	3.1608
8	350.0000	400.0000	39.4989	43.0000	0.0000	30.5293	0.3359	8.6337	3.7414	0.8113	0.8088	3.8283	3.8278
9	400.0000	450.0000	25.1162	22.0000	0.0000	19.1407	0.5065	5.4690	4.5163	0.9775	0.8019	4.6209	4.5870
10	450.0000	500.0000	16.4353	16.0000	0.0000	12.6007	0.3329	3.5017	5.7612	0.8090	1.4045	5.8178	5.9300
11	500.0000	550.0000	10.0305	11.0000	0.0000	7.2882	0.3408	2.4015	7.1630	3.5185	2.8122	7.9805	7.6953
12	550.0000	600.0000	8.7572	8.0000	0.0000	5.9111	0.0404	2.8057	8.2263	1.0890	1.6909	8.2980	8.3982
13	600.0000	650.0000	5.8135	4.0000	0.0000	3.8293	0.0408	1.9434	10.2037	1.7730	2.3957	10.3566	10.4812
14	650.0000	700.0000	4.8244	2.0000	0.0000	2.7745	0.0456	2.0043	13.1558	2.9003	2.3346	13.4717	13.3613
15	700.0000	750.0000	2.8851	4.0000	0.0000	2.1849	0.0815	0.6186	12.3884	0.8773	2.2270	12.4194	12.5870
16	750.0000	800.0000	2.0083	5.0000	0.0000	1.1811	0.0000	0.8272	16.7102	2.6031	1.0324	16.9117	16.7420
17	800.0000	850.0000	1.7826	2.0000	0.0000	1.1861	0.0000	0.5965	17.0784	7.0387	3.8765	18.4721	17.5129
18	850.0000	900.0000	0.9389	1.0000	0.0000	0.5213	0.0000	0.4176	25.6585	0.8150	0.8428	25.6715	25.6724
19	900.0000	950.0000	0.8525	0.0000	0.0000	0.5859	0.0430	0.2237	23.6974	0.7657	1.4459	23.7098	23.7415
20	950.0000	1000.0000	3.4745	4.0000	0.0000	1.7071	0.2097	1.5577	14.8022	1.6980	3.3530	14.8992	15.1772
