Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR4000N100EE	WR4000N2100EE
1	0.0000	50.0000	3.1991	0.0000	0.4977	1.6879	0.4606	0.5529	72.5968	11.1951	79.4529	73.4549	107.6246	10.1105	0.8871	7.4064	0.4719	0.0000	0.0000	0.0000	0.0000	50.7065	59.8982	461.7622	44.6887	467.8919	463.9196	657.3790	61.0590	0.9053	17.0429	1.7891	0.0000	0.0000	0.0000	0.0000	327.8218	327.8218	15.3221	10.6909	13.3932	18.6832	20.3506	0.8606	0.8730	5.7079	0.9573	0.0000	0.0000	0.0000	0.0000	0.1611	12.1051	32.7413	8.2142	18.0566	33.7560	37.3903	4.3235	0.9122	6.8837	0.7501	0.0000	0.0000	0.0000	0.0000	0.0000	16.5141	27.3730	5.1136	6.4761	27.8466	28.1287	4.6923	0.8928	4.3532	0.7934	0.0000	0.0000	0.0000	0.0000	1.6901	1.5891	0.0059	0.0301
2	50.0000	100.0000	9.1257	0.0000	2.1410	5.0256	1.0739	0.8852	22.7940	7.9685	8.3057	24.1467	24.2601	1.6171	0.8947	6.4393	1.0354	0.0000	0.0000	0.0000	0.0000	0.7650	5.0250	93.3001	9.1416	10.0045	93.7469	93.8350	5.0572	0.8973	8.5745	1.4070	0.0000	0.0000	0.0000	0.0000	0.0000	1.7038	9.7703	8.6106	7.6219	13.0231	12.3916	0.8526	0.8914	5.9822	1.0045	0.0000	0.0000	0.0000	0.0000	1.4337	5.8112	22.5016	7.1225	11.4327	23.6019	25.2394	3.9222	0.9217	5.3427	0.7158	0.0000	0.0000	0.0000	0.0000	0.0000	9.3067	21.7877	7.7561	10.9251	23.1270	24.3734	0.4242	0.8740	5.2010	0.6995	0.0000	0.0000	0.0000	0.0000	0.2528	9.6090	0.0222	0.0838
3	100.0000	150.0000	18.7371	0.0000	-2.3286	4.9216	14.9535	1.1906	53.3829	15.8443	15.7525	55.6846	55.6586	15.3476	0.9847	2.9904	0.9921	0.0000	0.0000	0.0000	0.0000	2.5326	3.9944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.6271	8.0807	7.3350	12.5690	12.1030	4.2683	0.8885	5.5148	1.0970	0.0000	0.0000	0.0000	0.0000	1.2552	4.5477	64.9205	12.6639	15.0569	66.1441	66.6437	14.7373	1.0034	2.7988	0.8915	0.0000	0.0000	0.0000	0.0000	0.0000	0.1261	18.2445	13.5968	5.3528	22.7537	19.0135	1.5035	0.8984	5.0479	0.8129	0.0000	0.0000	0.0000	0.0000	7.8381	9.8206	0.0471	0.1432
4	150.0000	200.0000	21.4435	0.0000	4.7874	2.9600	12.5327	1.1633	55.6249	18.6420	13.9728	58.6657	57.3531	14.3373	0.9604	8.1690	0.4436	0.0000	0.0000	0.0000	0.0000	0.2606	8.6091	54.9839	41.8281	23.0671	69.0856	59.6265	22.3841	0.9084	5.5426	0.9323	0.0000	0.0000	0.0000	0.0000	0.0000	35.1464	11.7666	6.8590	7.9594	13.6198	14.2058	2.4759	0.8824	5.5717	0.9669	0.0000	0.0000	0.0000	0.0000	1.8998	4.7338	92.7588	18.3707	14.0371	94.5604	93.8149	15.3554	1.0075	10.0337	0.0692	0.0000	0.0000	0.0000	0.0000	0.0000	0.2568	24.1627	8.8768	7.2676	25.7417	25.2320	3.7812	0.8655	5.4971	1.1357	0.0000	0.0000	0.0000	0.0000	0.2438	5.6782	0.0470	0.1996
5	200.0000	250.0000	9.0768	0.0000	-0.4178	1.6482	6.5725	1.2739	64.9302	10.7834	66.6214	65.8196	93.0288	11.0238	0.8243	5.9099	0.6331	0.0000	0.0000	0.0000	0.0000	0.1407	65.4416	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.8856	8.6009	8.9448	18.0646	18.2308	5.6488	0.8606	6.3415	0.9714	0.0000	0.0000	0.0000	0.0000	0.7641	2.9197	89.2986	16.8163	91.3510	90.8682	127.7468	18.5663	0.8044	5.8904	0.4765	0.0000	0.0000	0.0000	0.0000	0.0000	89.2544	16.4825	4.7902	5.3562	17.1644	17.3309	1.4380	0.8705	4.5458	0.9279	0.0000	0.0000	0.0000	0.0000	1.1095	2.0102	0.0518	0.2679
6	250.0000	300.0000	0.8700	0.0000	-2.0732	1.5634	0.3043	1.0755	180.5679	37.5097	50.8236	184.4227	187.5841	50.3988	1.0302	3.4622	1.6856	0.0000	0.0000	0.0000	0.0000	1.3452	5.2181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.0629	10.2255	10.7761	26.1454	26.3656	9.4653	0.8986	5.1351	0.9887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.4719	22.6957	15.3414	55.3399	52.7520	22.0723	0.9169	5.0386	1.2954	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.6199	7.8731	5.9798	19.2989	18.6070	5.9244	0.8669	4.1446	0.7257	0.0000	0.0000	0.0000	0.0000	1.0881	4.2210	0.0422	0.3145
7	300.0000	350.0000	1.2800	0.0000	0.0000	0.4402	0.3680	0.4718	18.9863	7.4202	8.5125	20.3848	20.8073	6.9180	0.8691	4.7589	0.8048	0.0000	0.0000	0.0000	0.0000	0.0143	1.2560	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.2546	11.7364	11.1657	32.4512	32.2492	10.8519	0.8680	4.3243	0.7251	0.0000	0.0000	0.0000	0.0000	0.0000	3.3843	39.7616	6.9127	9.6891	40.3580	40.9251	6.9901	0.8885	6.8173	0.7217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.9099	7.8952	5.6776	30.9344	30.4440	6.9273	0.8549	3.5589	0.9441	0.0000	0.0000	0.0000	0.0000	0.0388	0.2498	0.0298	0.3593
8	350.0000	400.0000	2.8664	0.0000	2.0688	0.2252	0.3126	0.2598	46.9869	7.9520	7.0775	47.6550	47.5169	3.0996	0.8691	7.2360	0.6868	0.0000	0.0000	0.0000	0.0000	0.0001	0.2026	64.4754	9.3334	8.0986	65.1475	64.9821	4.0905	0.8761	8.3233	0.5789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.3527	5.1633	7.5006	41.6738	42.0274	5.7707	0.8697	4.7448	0.9387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.3175	6.6793	7.9927	44.8180	45.0324	5.8948	0.8803	5.3544	1.2591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.0739	4.4565	3.1746	32.3821	32.2307	2.1930	0.7992	3.0013	0.6390	0.0000	0.0000	0.0000	0.0000	0.0011	2.2353	0.0336	0.4241
9	400.0000	450.0000	0.6386	0.0000	0.0000	0.3164	0.1218	0.2004	24.8950	96.0562	7.9079	99.2298	26.1208	5.4395	0.8711	5.7431	0.9938	0.0000	0.0000	0.0000	0.0000	0.0139	95.7409	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.4063	11.5149	10.0350	37.2317	36.8009	9.5555	0.8867	6.2722	1.0767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.2289	8.4525	10.4788	71.7286	71.9955	6.9360	0.9053	7.9203	1.1927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.9795	3.7762	3.7665	36.1771	36.1761	0.6988	0.8257	3.5848	0.7422	0.0000	0.0000	0.0000	0.0000	0.0441	0.4175	0.0227	0.4614
10	450.0000	500.0000	1.0271	0.0000	0.6312	0.0911	0.0705	0.2343	62.9304	6.5078	8.5601	63.2660	63.5099	7.7972	0.8129	3.2715	0.5608	0.0000	0.0000	0.0000	0.0000	0.0199	1.0762	100.0000	13.9031	16.3951	100.9619	101.3351	16.0747	0.7960	3.1469	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	65.0813	17.2688	18.7084	67.3334	67.7169	16.7486	0.8547	3.8848	1.3696	0.0000	0.0000	0.0000	0.0000	0.0000	11.3193	100.0000	18.3066	16.3001	101.6618	101.3198	17.0316	0.9053	6.6503	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.4202	2.6260	3.6216	44.4977	44.5676	2.5042	0.8143	2.3531	0.8127	0.0000	0.0000	0.0000	0.0000	0.0871	0.3179	0.0234	0.5064
