Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR4000N100EE	WR4000N2100EE
1	0.0000	50.0000	104.8500	0.0000	27.3772	76.2039	0.3714	0.8975	8.7360	10.1774	6.4545	13.4126	10.8618	0.5655	0.8580	5.1644	0.8233	0.0000	0.0000	0.0000	0.0000	0.3766	8.6622	32.7591	17.0160	4.8223	36.9148	33.1121	2.9574	0.8724	4.3785	0.9606	0.0000	0.0000	0.0000	0.0000	0.0000	16.1227	2.4167	8.1356	8.8158	8.4870	9.1410	0.5407	0.8527	5.4326	0.7761	0.0000	0.0000	0.0000	0.0000	0.5566	6.9558	35.7407	19.9514	9.1637	40.9324	36.8968	4.1142	0.8402	8.8621	0.9589	0.0000	0.0000	0.0000	0.0000	0.0000	17.3484	26.2967	13.4784	6.2308	29.5497	27.0247	1.9438	0.8818	4.8288	0.5859	0.0000	0.0000	0.0000	0.0000	3.2554	12.4967	0.0161	0.0395
2	50.0000	100.0000	218.5497	0.0000	26.0014	192.9846	-3.0567	2.6205	7.4840	9.9540	10.3439	12.4536	12.7674	1.2652	0.8562	5.4189	0.8326	0.0000	0.0000	0.0000	0.0000	0.3201	8.7312	51.8520	25.6216	32.6764	57.8368	61.2893	9.8659	0.8228	5.1617	0.9256	0.0000	0.0000	0.0000	0.0000	1.0385	31.4970	1.5149	8.0736	7.7013	8.2145	7.8489	0.5701	0.8549	5.2359	0.7984	0.0000	0.0000	0.0000	0.0000	0.2136	6.0232	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.8040	9.8911	5.4339	20.3670	18.6148	0.2425	0.8585	5.2764	0.8483	0.0000	0.0000	0.0000	0.0000	1.2062	8.1867	0.0428	0.1072
3	100.0000	150.0000	279.6511	0.0000	91.0874	183.0775	1.1858	4.3004	5.3804	7.0699	9.0133	8.8844	10.4971	0.2292	0.8535	5.0999	0.8587	0.0000	0.0000	0.0000	0.0000	1.2633	7.3986	16.2061	7.2751	13.1395	17.7641	20.8635	0.8986	0.8548	5.5367	0.9581	0.0000	0.0000	0.0000	0.0000	3.4552	11.8226	1.5542	7.3552	7.1758	7.5176	7.3422	0.1449	0.8525	4.8991	0.8118	0.0000	0.0000	0.0000	0.0000	0.1980	5.3558	23.5390	4.3099	6.0981	23.9303	24.3161	3.9044	0.8792	4.1259	0.8827	0.0000	0.0000	0.0000	0.0000	0.0000	2.0064	12.9027	11.1231	9.5913	17.0353	16.0771	2.5565	0.8621	4.6637	0.7440	0.0000	0.0000	0.0000	0.0000	2.0783	9.5513	0.0649	0.1698
4	150.0000	200.0000	191.6266	0.0000	71.0891	115.7073	1.2611	3.5691	7.5603	5.4594	5.6510	9.3254	9.4389	0.3250	0.8527	4.9658	0.8093	0.0000	0.0000	0.0000	0.0000	0.6792	2.5589	20.1246	5.3734	5.5655	20.8296	20.8800	0.8224	0.8601	5.2121	0.8410	0.0000	0.0000	0.0000	0.0000	1.6192	0.6783	1.9244	6.0959	6.1244	6.3924	6.4197	0.1528	0.8474	4.7984	0.7904	0.0000	0.0000	0.0000	0.0000	0.1298	3.7698	20.4448	7.9535	5.5702	21.9373	21.1900	5.1792	0.8857	5.5207	0.9988	0.0000	0.0000	0.0000	0.0000	0.0000	2.0430	12.3660	6.4608	6.7052	13.9520	14.0669	3.4991	0.8669	5.2919	0.7231	0.0000	0.0000	0.0000	0.0000	0.0400	3.1469	0.0786	0.2427
5	200.0000	250.0000	121.4934	0.0000	45.1402	72.5430	0.7845	3.0256	9.8035	6.3165	6.6021	11.6622	11.8193	2.1130	0.8550	4.9380	0.8119	0.0000	0.0000	0.0000	0.0000	1.1644	4.1569	26.0770	7.7111	8.3260	27.1932	27.3739	4.6678	0.8734	5.0923	0.8984	0.0000	0.0000	0.0000	0.0000	3.3041	5.3178	2.4233	5.9817	5.9629	6.4540	6.4365	0.8147	0.8433	4.8220	0.7587	0.0000	0.0000	0.0000	0.0000	0.1490	3.4875	24.8301	11.8797	9.6385	27.5257	26.6352	10.1625	0.9116	5.9907	1.0635	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.8006	6.0119	6.9139	15.0532	15.4356	2.9055	0.8488	5.1427	0.7300	0.0000	0.0000	0.0000	0.0000	0.0446	3.9666	0.0715	0.3204
6	250.0000	300.0000	77.4116	0.0000	33.4602	39.7032	0.5058	3.7425	12.8904	5.5636	7.3272	14.0398	14.8273	2.0409	0.8356	4.7921	0.7349	0.0000	0.0000	0.0000	0.0000	0.5859	5.5037	29.5375	7.8916	9.6283	30.5735	31.0672	5.8062	0.8331	5.0563	0.7418	0.0000	0.0000	0.0000	0.0000	1.0181	7.9985	3.1723	5.0163	5.2339	5.9352	6.1202	0.6651	0.8350	4.5172	0.7255	0.0000	0.0000	0.0000	0.0000	0.1903	2.5058	32.7111	10.8474	10.4947	34.4627	34.3533	8.6677	0.8944	6.3541	1.1669	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.1449	7.6596	17.7150	16.0856	22.6693	4.9021	0.8563	5.1347	0.7140	0.0000	0.0000	0.0000	0.0000	5.0362	15.7459	0.0515	0.3745
7	300.0000	350.0000	48.8147	0.0000	11.4320	21.3987	14.9624	1.0216	34.2079	49.0949	15.9615	59.8372	37.7485	48.7630	0.8311	3.9268	0.6886	0.0000	0.0000	0.0000	0.0000	2.2083	3.3187	68.3446	23.9270	11.8265	72.4119	69.3603	18.6159	0.8755	4.7802	0.6519	0.0000	0.0000	0.0000	0.0000	9.5114	10.5565	4.1815	5.2693	5.1108	6.7268	6.6034	0.9746	0.8318	4.6847	0.6880	0.0000	0.0000	0.0000	0.0000	0.2932	1.9022	98.4310	167.2991	66.2925	194.1073	118.6733	167.2823	0.7957	2.1126	0.7132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.2502	13.5537	11.7339	32.2378	31.5160	12.5047	0.8386	5.0697	0.7518	0.0000	0.0000	0.0000	0.0000	0.4745	1.0854	0.0387	0.4428
8	350.0000	400.0000	41.3307	0.0000	26.4295	13.4483	0.2486	1.2044	19.3622	6.3507	6.8124	20.3771	20.5257	4.6503	0.8408	4.7654	0.6948	0.0000	0.0000	0.0000	0.0000	0.3628	1.4615	30.1396	7.4378	9.6004	31.0437	31.6316	7.9851	0.8464	4.9449	0.7012	0.0000	0.0000	0.0000	0.0000	0.3610	2.0461	5.1880	5.1751	4.5622	7.3279	6.9087	2.4320	0.8294	4.2706	0.6976	0.0000	0.0000	0.0000	0.0000	0.7633	1.4998	46.5541	6.2673	7.7944	46.9740	47.2020	6.3268	0.8533	4.4696	0.8656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.5968	9.4819	9.8960	26.3611	26.5129	6.8827	0.8408	6.4103	0.4852	0.0000	0.0000	0.0000	0.0000	0.3752	3.9333	0.0287	0.4897
9	400.0000	450.0000	24.5942	0.0000	15.4654	8.0879	0.1713	0.8696	25.5778	10.8375	14.3119	27.7790	29.3096	13.8895	0.8193	2.6696	0.7018	0.0000	0.0000	0.0000	0.0000	0.0772	7.2954	40.4918	16.1157	21.6902	43.5810	45.9353	21.4935	0.8119	1.5904	0.7284	0.0000	0.0000	0.0000	0.0000	0.0000	11.1710	6.6865	4.9411	4.9066	8.3140	8.2936	1.4626	0.8262	4.5332	0.6188	0.0000	0.0000	0.0000	0.0000	0.1184	1.1922	51.1656	10.6809	10.1380	52.2685	52.1603	8.7814	0.9053	5.7182	1.8578	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.3560	6.9541	10.5337	28.2261	29.3140	7.6522	0.8706	5.1873	0.7744	0.0000	0.0000	0.0000	0.0000	3.2853	3.8419	0.0172	0.5421
10	450.0000	500.0000	16.1335	0.0000	6.9183	4.2388	4.2974	0.6791	36.2923	11.5903	10.6707	38.0981	37.8285	9.9985	0.8236	5.7823	0.5020	0.0000	0.0000	0.0000	0.0000	0.0004	4.0728	57.1610	8.0263	12.0487	57.7218	58.4171	2.3688	0.8396	7.6078	0.4764	0.0000	0.0000	0.0000	0.0000	0.0000	9.5031	8.9679	4.7882	4.3095	10.1662	9.9496	1.9731	0.8242	4.2407	0.6093	0.0000	0.0000	0.0000	0.0000	0.0000	0.5189	100.0000	31.6736	33.2356	104.8962	105.3784	32.8789	0.7960	4.8065	0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.9224	17.4618	16.1931	32.0894	31.4171	17.1698	0.8324	2.9817	0.7271	0.0000	0.0000	0.0000	0.0000	0.0105	0.1281	0.0141	0.5994
