Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,70000,100.0,0.0,100.0
2,Met filter,70000,100.0,0.0,100.0
3,"2 tight lep, pt,eta,id,iso",40511,57.9,42.1,57.9
4,Trigger pass,40471,57.8,0.1,99.9
5,"Jet >=2 , pt ,eta",38376,54.8,5.2,94.8
6,4 object separation,37831,54.0,1.4,98.6
7,m(ll) > 200,37831,54.0,0.0,100.0
8,WR mass 800,37831,54.0,0.0,100.0
9,m(ll) > 400,36648,52.4,3.1,96.9
