Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,131.36,100.0,0.0,100.0
2,Met filter,131.23,99.9,0.1,99.9
3,"2 tight lep, pt,eta,id,iso",111.69,85.0,14.9,85.1
4,Trigger pass,111.69,85.0,0.0,100.0
5,"Jet >=2, pt, eta",108.61,82.7,2.8,97.2
6,4 object separation,101.89,77.6,6.2,93.8
7,m(ll) > 200,92.20,70.2,9.5,90.5
8,WR mass 800,92.20,70.2,0.0,100.0
9,m(ll) > 400,90.83,69.1,1.5,98.5
