Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,67000,100.0,0.0,100.0
2,Met filter,67000,100.0,0.0,100.0
3,"2 tight lep, pt,eta,id,iso",52557,78.4,21.6,78.4
4,Trigger pass,52185,77.9,0.7,99.3
5,"Jet >=2 , pt ,eta",49325,73.6,5.5,94.5
6,4 object separation,49143,73.3,0.4,99.6
7,m(ll) > 200,49143,73.3,0.0,100.0
8,WR mass 800,49143,73.3,0.0,100.0
9,m(ll) > 400,47867,71.4,2.6,97.4
