Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,68000,100.0,0.0,100.0
2,Met filter,68000,100.0,0.0,100.0
3,! 4 object resolved,64154,94.3,5.7,94.3
4,"Lead lep tight, pt, eta, id, iso",51962,76.4,19.0,81.0
5,Trigger,51762,76.1,0.4,99.6
6,! m(ll) 60~150,51711,76.0,0.1,99.9
7,"fatjet pt eta sdm, dphi",21114,31.1,59.2,40.8
8,no more tight lep,21092,31.0,0.1,99.9
9,loose lep in fatjet pt eta pt eta ,1738,2.6,91.8,8.2
10,no of loose lep in fatjet ,1730,2.5,0.5,99.5
11,m(ll)> 200,1729,2.5,0.1,99.9
12,M(llJ) > 800,1506,2.2,12.9,87.1
