Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,69000,100.0,0.0,100.0
2,Met filter,69000,100.0,0.0,100.0
3,! 4 object resolved,66934,97.0,3.0,97.0
4,"Lead lep tight, pt, eta, id, iso",53674,77.8,19.8,80.2
5,Trigger,53523,77.6,0.3,99.7
6,! m(ll) 60~150,53487,77.5,0.1,99.9
7,"fatjet pt eta sdm, dphi",21960,31.8,58.9,41.1
8,no more tight lep,21865,31.7,0.4,99.6
9,loose lep in fatjet pt eta pt eta ,3909,5.7,82.1,17.9
10,no of loose lep in fatjet ,3882,5.6,0.7,99.3
11,m(ll)> 200,3880,5.6,0.1,99.9
12,M(llJ) > 800,3544,5.1,8.7,91.3
