Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,70000,100.0,0.0,100.0
2,Met filter,70000,100.0,0.0,100.0
3,"2 tight lep, pt,eta,id,iso",8433,12.0,88.0,12.0
4,Trigger pass,8361,11.9,0.9,99.1
5,"Jet >=2 , pt ,eta",1971,2.8,76.4,23.6
6,4 object separation,1961,2.8,0.5,99.5
7,m(ll) > 200,1961,2.8,0.0,100.0
8,WR mass 800,1961,2.8,0.0,100.0
9,m(ll) > 400,1209,1.7,38.3,61.7
