Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,280.62,100.0,0.0,100.0
2,Met filter,280.40,99.9,0.1,99.9
3,! 4 object resolved,236.26,84.2,15.7,84.3
4,"Lead lep tight, pt, eta, id, iso",236.10,84.1,0.1,99.9
5,Trigger,221.77,79.0,6.1,93.9
6,! m(ll) 60~150,221.44,78.9,0.1,99.9
7,"fatjet pt eta sdm, dphi",147.82,52.7,33.2,66.8
8,no more tight lep,147.66,52.6,0.1,99.9
9,loose lep in fatjet pt eta,144.93,51.6,1.8,98.2
10,no of loose lep in fatjet,144.07,51.3,0.6,99.4
11,m(ll) > 200,144.08,51.3,-0.0,100.0
12,M(llJ) > 800,143.01,51.0,0.7,99.3
