Short_Name,Cross_Section_pb,Uncertainty_pb,Status,MCM,DAS
WRtoNEltoElElJJ_MWR2000_N100,0.1668,5.587e-05,new,EXO-Run3Summer22EEMiniAODv4-02112,/WRtoNEltoElElJJ_MWR2000_N100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N1100,0.09102,3.133e-05,new,EXO-Run3Summer22EEMiniAODv4-02113,/WRtoNEltoElElJJ_MWR2000_N1100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N1300,0.06591,2.638e-05,new,EXO-Run3Summer22EEMiniAODv4-02114,/WRtoNEltoElElJJ_MWR2000_N1300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N1500,0.04033,1.418e-05,new,EXO-Run3Summer22EEMiniAODv4-02115,/WRtoNEltoElElJJ_MWR2000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N1700,0.01762,6.973e-06,new,EXO-Run3Summer22EEMiniAODv4-02116,/WRtoNEltoElElJJ_MWR2000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N1900,0.003042,1.049e-06,new,EXO-Run3Summer22EEMiniAODv4-02117,/WRtoNEltoElElJJ_MWR2000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N300,0.1592,6.204e-05,new,EXO-Run3Summer22EEMiniAODv4-02118,/WRtoNEltoElElJJ_MWR2000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N500,0.1477,7.366e-05,new,EXO-Run3Summer22EEMiniAODv4-02119,/WRtoNEltoElElJJ_MWR2000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N700,0.1326,4.393e-05,new,EXO-Run3Summer22EEMiniAODv4-02120,/WRtoNEltoElElJJ_MWR2000_N700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNEltoElElJJ_MWR2000_N900,0.1136,3.963e-05,new,EXO-Run3Summer22EEMiniAODv4-02121,/WRtoNEltoElElJJ_MWR2000_N900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
