Short_Name,Cross_Section_pb,Uncertainty_pb,Status,MCM,DAS
WRtoNMutoMuMuJJ_MWR4000_N1500,0.001429,4.732e-07,new,EXO-Run3Summer22EEMiniAODv4-02225,/WRtoNMutoMuMuJJ_MWR4000_N1500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N1700,0.001307,4.215e-07,new,EXO-Run3Summer22EEMiniAODv4-02226,/WRtoNMutoMuMuJJ_MWR4000_N1700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N1900,0.001181,4.004e-07,new,EXO-Run3Summer22EEMiniAODv4-02227,/WRtoNMutoMuMuJJ_MWR4000_N1900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N2100,0.001049,3.533e-07,new,EXO-Run3Summer22EEMiniAODv4-02228,/WRtoNMutoMuMuJJ_MWR4000_N2100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N2300,0.0009136,3.155e-07,new,EXO-Run3Summer22EEMiniAODv4-02229,/WRtoNMutoMuMuJJ_MWR4000_N2300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N2500,0.0007709,2.643e-07,new,EXO-Run3Summer22EEMiniAODv4-02230,/WRtoNMutoMuMuJJ_MWR4000_N2500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N2700,0.0006299,2.231e-07,new,EXO-Run3Summer22EEMiniAODv4-02231,/WRtoNMutoMuMuJJ_MWR4000_N2700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N2900,0.0004911,1.505e-07,new,EXO-Run3Summer22EEMiniAODv4-02232,/WRtoNMutoMuMuJJ_MWR4000_N2900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N300,0.002179,8.735e-07,new,EXO-Run3Summer22EEMiniAODv4-02233,/WRtoNMutoMuMuJJ_MWR4000_N300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N3100,0.0003574,1.174e-07,new,EXO-Run3Summer22EEMiniAODv4-02234,/WRtoNMutoMuMuJJ_MWR4000_N3100_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N3300,0.0002355,7.892e-08,new,EXO-Run3Summer22EEMiniAODv4-02235,/WRtoNMutoMuMuJJ_MWR4000_N3300_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N3500,0.000131,4.662e-08,new,EXO-Run3Summer22EEMiniAODv4-02236,/WRtoNMutoMuMuJJ_MWR4000_N3500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N3700,5.48e-05,1.846e-08,new,EXO-Run3Summer22EEMiniAODv4-02237,/WRtoNMutoMuMuJJ_MWR4000_N3700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N3900,1.211e-05,3.821e-09,new,EXO-Run3Summer22EEMiniAODv4-02238,/WRtoNMutoMuMuJJ_MWR4000_N3900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N500,0.002029,8.315e-07,new,EXO-Run3Summer22EEMiniAODv4-02239,/WRtoNMutoMuMuJJ_MWR4000_N500_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N700,0.001894,8.2e-07,new,EXO-Run3Summer22EEMiniAODv4-02240,/WRtoNMutoMuMuJJ_MWR4000_N700_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
WRtoNMutoMuMuJJ_MWR4000_N900,0.001772,7.738e-07,new,EXO-Run3Summer22EEMiniAODv4-02241,/WRtoNMutoMuMuJJ_MWR4000_N900_TuneCP5_13p6TeV_madgraph-pythia8/Run3Summer22EEMiniAODv4-130X_mcRun3_2022_realistic_postEE_v6-v2/MINIAODSIM
