Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	0.0535	0.0000	0.0000	0.0532	0.0000	0.0003	96.5546	15.1814	9.6036	97.7408	97.0311
2	50.0000	100.0000	0.2521	3.0000	-0.6206	0.4972	0.3845	-0.0090	662.9588	160.5098	200.0099	682.1127	692.4727
3	100.0000	150.0000	3.9930	16.0000	8.3637	3.6969	-8.5233	0.4558	372.1074	43.1042	35.4869	374.5956	373.7957
4	150.0000	200.0000	69.4474	54.0000	47.2190	6.4476	14.5619	1.2190	19.0188	4.7076	1.7292	19.5928	19.0973
5	200.0000	250.0000	124.2789	89.0000	83.5360	9.7849	27.2758	3.6823	16.5305	4.6388	3.7298	17.1690	16.9461
6	250.0000	300.0000	127.6000	111.0000	92.6081	5.6473	24.0184	5.3262	14.9440	5.0006	3.4396	15.7584	15.3347
7	300.0000	350.0000	101.3024	97.0000	78.8377	4.0757	13.1446	5.2443	16.0590	2.7433	1.3142	16.2917	16.1127
8	350.0000	400.0000	155.1715	104.0000	137.6746	2.8981	8.1697	6.4290	12.5918	1.9220	1.1712	12.7376	12.6461
9	400.0000	450.0000	118.2698	98.0000	105.8888	1.4597	3.9706	6.9506	15.7791	2.7507	2.5191	16.0170	15.9789
10	450.0000	500.0000	104.5796	78.0000	95.3589	0.7482	2.2082	6.2644	15.3857	1.1111	1.6967	15.4258	15.4790
11	500.0000	550.0000	67.8929	64.0000	60.4823	0.4550	0.8670	6.0886	21.8994	2.5388	2.0988	22.0461	21.9998
12	550.0000	600.0000	51.3297	50.0000	46.1785	0.0069	0.7012	4.4432	19.5983	2.1521	3.8369	19.7161	19.9704
13	600.0000	650.0000	36.0167	28.0000	33.3157	0.1684	0.1470	2.3855	24.4558	7.3067	5.2480	25.5240	25.0126
14	650.0000	700.0000	15.9845	18.0000	14.7802	0.1636	0.1444	0.8962	34.0462	4.8420	3.8694	34.3888	34.2654
15	700.0000	750.0000	22.9898	9.0000	22.5558	0.0410	0.1159	0.2771	25.3075	6.8252	7.6291	26.2117	26.4324
16	750.0000	800.0000	6.4193	6.0000	5.8827	0.1543	0.0912	0.2911	65.0732	12.3099	12.2863	66.2273	66.2229
17	800.0000	850.0000	3.0022	1.0000	2.8918	0.0000	0.0000	0.1105	68.1799	4.0743	7.8228	68.3015	68.6272
18	850.0000	900.0000	0.0164	2.0000	-0.1724	0.0591	0.0000	0.1297	13171.9160	1449.4553	3173.6722	13251.4261	13548.8585
20	950.0000	1000.0000	1.5547	2.0000	1.4748	0.0000	0.0000	0.0799	94.8651	16.7228	12.2737	96.3277	95.6558
