Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
29	0.6000	0.8000	487.4744	671.0000	439.7542	17.6615	1.6047	28.4539	3.5353	2.0438	1.5200	4.0836	3.8482	1.3590	0.8381	1.2759	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.8000	1.0000	546.3947	787.0000	496.0118	18.7539	1.6703	29.9587	3.2770	2.4411	3.9860	4.0863	5.1601	3.7156	0.8353	1.1848	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
31	1.0000	1.2000	568.6179	799.0000	515.3773	20.0847	1.6225	31.5334	3.2143	2.6928	4.8904	4.1932	5.8521	4.6778	0.8409	1.1602	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
32	1.2000	1.4000	605.7284	880.0000	547.5526	22.2763	1.6385	34.2610	3.2779	1.7920	1.4314	3.7357	3.5768	1.0692	0.8438	1.1645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	1.4000	1.6000	606.7250	851.0000	546.6256	22.1775	1.8721	36.0498	3.1736	2.4087	3.3731	3.9842	4.6314	3.0580	0.8485	1.1514	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	1.6000	1.8000	631.6808	923.0000	575.3224	20.6281	1.4922	34.2381	3.1680	1.7114	1.4457	3.6007	3.4823	0.9048	0.8476	1.1797	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	1.8000	2.0000	632.5252	857.0000	577.9256	21.5531	1.3363	31.7102	3.0976	1.9193	3.9402	3.6440	5.0120	3.6852	0.8549	1.1102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
36	2.0000	2.2000	549.6786	815.0000	500.9296	18.5775	0.9680	29.2035	3.3447	1.5060	1.4177	3.6681	3.6328	0.4870	0.8572	1.1384	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	2.2000	2.4000	439.9558	684.0000	399.2886	14.9430	0.7007	25.0234	3.6739	2.2769	2.2496	4.3223	4.3079	1.7829	0.8597	1.1253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	2.4000	2.6000	348.1891	563.0000	317.4901	11.4161	0.4250	18.8579	4.0055	5.8416	8.6729	7.0829	9.5532	8.5578	0.8690	1.1177	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
