Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
1	800.0000	1000.0000	84.4382	0.0000	0.0000	39.3110	5.1981	39.9291	7.5684	0.0000	122.6140	7.5684	122.8473	46.2946	46.4095	46.9466	46.1876	46.1876	46.1876	46.1876
2	1000.0000	1200.0000	25.6730	0.0000	-0.3913	14.2481	2.1236	9.6925	12.2362	0.0000	93.5951	12.2362	94.3916	35.9344	35.3258	36.1256	35.0563	35.0563	35.0563	35.0563
3	1200.0000	1500.0000	18.6944	0.0000	0.0000	7.1567	1.1543	10.3834	17.2513	0.0000	142.5822	17.2513	143.6220	55.3057	53.6868	54.2505	53.4920	53.4920	53.4920	53.4920
4	1500.0000	1800.0000	3.2088	0.0000	0.0000	1.6644	0.3221	1.2223	32.8211	0.0000	83.3586	32.8211	89.5873	31.4735	31.4416	32.9337	31.1644	31.1644	31.1644	31.1644
5	1800.0000	8000.0000	1.9689	0.0000	0.0000	0.6868	-0.0195	1.3016	52.0222	0.0000	136.5465	52.0222	146.1207	55.5837	50.9963	51.3493	50.7888	50.7888	50.7888	50.7888
