Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
3	200.0000	300.0000	4.8584	2.0000	0.0000	1.4814	0.2836	3.0934	36.1088	0.0000	163.6235	36.1088	167.5604	62.3551	61.8067	61.7485	61.7485	61.7485	61.7485	61.7485
4	300.0000	400.0000	34.5071	19.0000	0.0000	14.4247	2.7707	17.3117	12.2291	0.0000	130.7624	12.2291	131.3330	50.3031	49.3263	49.2652	49.2652	49.2652	49.2652	49.2652
5	400.0000	500.0000	47.7732	21.0000	-0.9706	28.8621	3.1035	16.7782	8.9581	0.0000	88.9748	8.9581	89.4246	34.3774	33.5601	33.4916	33.4916	33.4916	33.4916	33.4916
6	500.0000	600.0000	57.1885	26.0000	1.4576	27.7986	4.2772	23.6551	9.0946	0.0000	106.5137	9.0946	106.9012	40.4678	40.2508	40.2179	40.2179	40.2179	40.2179	40.2179
7	600.0000	700.0000	44.9900	23.0000	0.8536	17.8886	4.1949	22.0529	11.2733	0.0000	123.5091	11.2733	124.0225	46.7003	46.6889	46.6770	46.6770	46.6770	46.6770	46.6770
8	700.0000	800.0000	33.3281	19.0000	1.7864	10.4134	2.2257	18.9026	13.4904	0.0000	142.9819	13.4904	143.6169	54.2379	54.0139	54.0085	54.0085	54.0085	54.0085	54.0085
9	800.0000	900.0000	11.8897	11.0000	-0.5158	4.0799	1.0070	7.3186	33.9698	0.0000	156.6859	33.9698	160.3259	61.2562	58.8818	58.8745	58.8745	58.8745	58.8745	58.8745
10	900.0000	1000.0000	5.6265	2.0000	0.0000	2.7243	0.4500	2.4522	26.1541	0.0000	94.3788	26.1541	97.9356	36.4119	35.5510	35.5462	35.5462	35.5462	35.5462	35.5462
11	1000.0000	1100.0000	1.2198	1.0000	-2.0451	1.7200	0.4493	1.0957	188.3621	22.7700	326.0509	189.7334	376.5494	256.8757	81.9878	81.9781	81.9781	81.9781	81.9781	81.9781
12	1100.0000	1200.0000	4.1427	3.0000	0.0000	0.8813	0.2107	3.0506	42.1606	0.0000	192.2888	42.1606	196.8565	74.2255	72.4184	72.4170	72.4170	72.4170	72.4170	72.4170
13	1200.0000	1300.0000	0.7948	0.0000	0.0000	0.7238	0.0360	0.0350	22.3247	4.0152	2.7977	22.6829	22.4993	4.0152	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000
14	1300.0000	1400.0000	0.4858	0.0000	0.0000	0.2584	0.0000	0.2274	35.0167	22.8765	18.4270	41.8270	39.5692	22.8765	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
15	1400.0000	1500.0000	0.2123	0.0000	0.0000	0.2005	0.0000	0.0118	44.6209	2.1682	2.9350	44.6735	44.7173	2.9350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	1500.0000	1600.0000	0.0677	0.0000	0.0000	0.0201	0.0000	0.0477	62.8750	18.0941	13.7306	65.4267	64.3568	18.0941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	1600.0000	1700.0000	0.0849	0.0000	0.0000	0.0780	0.0000	0.0069	70.9203	1.3690	12.6645	70.9335	72.0422	12.6645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	1700.0000	1800.0000	0.0273	0.0000	0.0000	0.0215	0.0000	0.0058	79.0156	9.7791	8.6726	79.6185	79.4901	9.7791	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	1800.0000	1900.0000	0.0150	0.0000	0.0000	0.0606	0.0000	-0.0456	414.9792	118.2793	118.8050	431.5063	431.6507	118.8050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	1900.0000	2000.0000	1.0872	1.0000	0.0000	0.0429	0.0000	1.0443	92.0879	0.0000	243.7899	92.0879	260.6026	93.1170	91.9808	91.9808	91.9808	91.9808	91.9808	91.9808
