Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	800.0000	1000.0000	1355.6364	1441.0000	1221.3557	65.4619	4.3699	64.4490	4.6550	0.5876	12.9026	4.6920	13.7166	3.9383	2.9506	2.9506	2.9506	2.9506	2.9506	2.9506	4.1877	9.0107
2	1000.0000	1200.0000	709.7965	734.0000	639.8403	31.0890	2.3626	36.5046	6.3411	4.3779	15.3386	7.7056	16.5976	5.4428	3.5221	3.5221	3.5221	3.5221	3.5221	3.5221	3.3849	10.9434
3	1200.0000	1400.0000	376.6557	361.0000	328.8219	16.4339	0.9283	30.4715	8.5886	0.0000	20.8749	8.5886	22.5726	6.8350	6.6374	6.6374	6.6374	6.6374	6.6374	6.6374	6.6623	8.9627
4	1400.0000	1600.0000	212.6459	192.0000	185.3005	7.7760	0.7634	18.8059	11.1097	0.0000	26.1362	11.1097	28.3994	11.1454	7.5242	7.5242	7.5242	7.5242	7.5242	7.5242	7.2151	12.9282
5	1600.0000	2000.0000	187.7067	170.0000	162.2610	7.2729	0.5009	17.6719	11.4379	0.3350	29.6986	11.4429	31.8250	8.7406	8.5239	8.5239	8.5239	8.5239	8.5239	8.5239	10.7305	15.9537
6	2000.0000	2400.0000	83.4381	58.0000	74.9526	2.4262	0.1630	5.8964	16.3176	0.0000	25.4140	16.3176	30.2016	9.3045	5.9925	5.9925	5.9925	5.9925	5.9925	5.9925	8.0536	16.7027
7	2400.0000	2800.0000	28.2654	19.0000	22.3958	0.3922	0.0565	5.4208	27.5834	7.3569	54.8654	28.5477	61.4089	19.1401	17.6895	17.6895	17.6895	17.6895	17.6895	17.6895	23.6826	14.3350
8	2800.0000	3200.0000	13.7904	8.0000	9.4604	0.2831	0.0000	4.0469	34.5056	0.0000	98.7026	34.5056	104.5602	28.3752	29.0056	29.0056	29.0056	29.0056	29.0056	29.0056	29.0068	55.2059
9	3200.0000	8000.0000	1.2794	3.0000	0.1000	0.1541	0.0126	1.0126	295.4850	52.1927	219.1128	300.0591	367.8611	72.4024	78.1642	78.1642	78.1642	78.1642	78.1642	78.1642	78.1696	52.1927
