Bin,BinLow,BinHigh,MC_Total,Data,DYJets,TT,Nonprompt,Others,Stat_pct,SystUp_pct,SystDn_pct,TotalUp_pct,TotalDn_pct
1,0.0000,50.0000,57.3125,0.0000,4.8162,20.9498,30.4299,1.1166,44.4071,6.1140,5.9541,44.8260,44.8045
2,50.0000,100.0000,71.7956,0.0000,11.1800,45.1369,12.3298,3.1489,31.4487,4.2540,3.3473,31.7351,31.6263
3,100.0000,150.0000,60.8533,0.0000,5.2834,41.3201,11.8524,2.3974,38.4032,4.2775,5.2135,38.6407,38.7555
4,150.0000,200.0000,38.1306,0.0000,6.4038,30.1765,0.0478,1.5025,45.6614,2.3038,1.9151,45.7195,45.7015
5,200.0000,250.0000,60.6435,0.0000,10.2982,20.3329,28.7702,1.2421,30.6922,3.0494,3.8666,30.8433,30.9348
6,250.0000,300.0000,19.6006,0.0000,5.0225,12.7226,1.3090,0.5466,15.2987,7.4020,3.0259,16.9953,15.5951
7,300.0000,350.0000,14.0628,0.0000,5.4165,6.4105,1.9630,0.2728,25.1091,11.4350,5.3926,27.5903,25.6816
8,350.0000,400.0000,4.3919,0.0000,0.0000,4.1059,0.0000,0.2860,10.2892,2.3390,2.4383,10.5517,10.5742
9,400.0000,450.0000,3.2341,0.0000,0.6745,2.3734,0.0000,0.1862,23.8347,7.4635,7.6363,24.9760,25.0282
10,450.0000,500.0000,1.4779,0.0000,0.0000,1.2262,0.0000,0.2517,19.5916,9.8033,7.1556,21.9074,20.8574
11,500.0000,550.0000,0.8521,0.0000,0.0000,0.7866,0.0000,0.0655,23.8949,2.5911,2.4951,24.0350,24.0248
12,550.0000,600.0000,0.3181,0.0000,0.0000,0.2870,0.0000,0.0311,46.4118,5.7106,4.2069,46.7618,46.6021
13,600.0000,650.0000,0.4122,0.0000,0.0000,0.3731,0.0000,0.0391,32.5654,1.9628,1.9511,32.6245,32.6238
14,650.0000,700.0000,0.1986,0.0000,0.0000,0.1910,0.0000,0.0077,61.9947,7.8790,10.1679,62.4933,62.8230
15,700.0000,750.0000,0.0983,0.0000,0.0000,0.0901,0.0000,0.0082,59.9646,4.6182,5.7533,60.1422,60.2400
16,750.0000,800.0000,0.1251,0.0000,0.0000,0.0897,0.0000,0.0354,45.5113,6.0155,4.5359,45.9071,45.7367
17,800.0000,850.0000,0.1643,0.0000,0.0000,0.1578,0.0000,0.0064,49.1340,9.4199,6.7120,50.0288,49.5903
18,850.0000,900.0000,0.0914,0.0000,0.0000,0.0000,0.0000,0.0914,96.1739,17.6076,13.3714,97.7724,97.0990
19,900.0000,950.0000,1.6424,0.0000,1.6188,0.0211,0.0000,0.0025,98.5698,17.0518,13.5038,100.0339,99.4905
20,950.0000,1000.0000,0.2744,0.0000,0.0000,0.2126,0.0000,0.0617,53.1400,9.5672,10.2154,53.9944,54.1130
