Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	2.0363	0.0000	0.0000	1.5661	0.4295	0.0408	18.3400	4.8718	4.7544	18.9761	18.9463
3	100.0000	150.0000	6.5943	0.0000	0.0000	5.0918	1.4922	0.0103	9.5147	3.6500	3.1808	10.1908	10.0323
4	150.0000	200.0000	10.3063	0.0000	0.0000	8.8637	1.2432	0.1994	7.2622	1.0729	1.2900	7.3410	7.3758
5	200.0000	250.0000	11.1335	0.0000	0.0000	9.5139	1.4184	0.2012	6.9226	1.4570	1.3099	7.0743	7.0454
6	250.0000	300.0000	11.0749	0.0000	-0.6899	9.7684	1.7294	0.2670	13.2023	2.7047	2.1480	13.4765	13.3759
7	300.0000	350.0000	11.4858	0.0000	2.8775	7.3440	1.0967	0.1676	18.9836	0.9975	1.5484	19.0098	19.0466
8	350.0000	400.0000	10.8767	0.0000	3.8239	5.9727	0.8405	0.2396	22.4287	0.9332	0.8439	22.4481	22.4446
9	400.0000	450.0000	5.6408	0.0000	0.1264	4.3854	0.6808	0.4483	10.8270	2.1495	0.9933	11.0384	10.8725
10	450.0000	500.0000	4.3664	0.0000	1.3771	2.6304	0.0984	0.2605	32.8786	5.5822	4.8982	33.3491	33.2415
11	500.0000	550.0000	1.6049	0.0000	0.0000	1.3606	0.1771	0.0673	16.8327	6.9518	6.6766	18.2118	18.1085
12	550.0000	600.0000	1.0512	0.0000	0.0000	0.9816	0.0548	0.0148	22.4425	4.8381	4.8947	22.9581	22.9701
13	600.0000	650.0000	1.0157	0.0000	0.2397	0.6740	0.0000	0.1020	30.2325	24.7378	16.4807	39.0636	34.4328
14	650.0000	700.0000	0.6478	0.0000	0.0000	0.5124	0.0479	0.0874	26.5707	5.8140	6.4810	27.1993	27.3497
15	700.0000	750.0000	0.0692	0.0000	0.0000	0.1262	-0.0598	0.0028	210.6435	6.7015	9.5303	210.7501	210.8590
16	750.0000	800.0000	0.1793	0.0000	0.0000	0.1704	0.0000	0.0089	46.6578	11.3937	9.5564	48.0288	47.6264
17	800.0000	850.0000	0.0875	0.0000	0.0000	0.1381	0.0000	-0.0506	89.9657	10.5111	8.8888	90.5777	90.4038
18	850.0000	900.0000	0.0105	0.0000	0.0000	0.0046	0.0000	0.0059	48.9556	34.5207	24.5695	59.9026	54.7750
19	900.0000	950.0000	0.0571	0.0000	0.0000	-0.0081	0.0000	0.0652	148.8352	4.7568	8.6826	148.9111	149.0882
