Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	800.0000	1000.0000	49.5435	0.0000	6.2013	36.7990	5.7945	0.7486	7.6099	2.1282	1.6532	7.9019	7.7874
2	1000.0000	1200.0000	16.1962	0.0000	1.4037	12.2214	1.8146	0.7565	9.3466	3.1252	3.0819	9.8553	9.8416
3	1200.0000	1500.0000	7.0000	0.0000	0.0000	5.5178	1.2420	0.2401	9.3616	2.9341	2.7404	9.8106	9.7545
4	1500.0000	1800.0000	2.1213	0.0000	0.0000	1.8396	0.0762	0.2055	15.6252	4.1340	5.4311	16.1629	16.5422
5	1800.0000	8000.0000	0.6171	0.0000	-0.1619	0.5054	0.0561	0.2175	51.2559	15.0102	29.2083	53.4086	58.9940
