Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	6.4510	0.0000	0.0000	5.5169	0.9561	-0.0219	9.4647	6.6148	5.9748	11.5471	11.1928
2	50.0000	100.0000	14.5606	0.0000	0.0000	13.1109	1.2448	0.2049	6.2377	1.0904	1.3053	6.3323	6.3728
3	100.0000	150.0000	12.9973	0.0000	0.2761	10.5242	1.8287	0.3683	6.5652	4.8305	4.4056	8.1508	7.9064
4	150.0000	200.0000	13.2482	0.0000	1.8015	9.5918	1.7363	0.1186	11.6612	3.4931	4.1288	12.1731	12.3706
5	200.0000	250.0000	7.8287	0.0000	-1.3274	7.5932	1.4187	0.1441	16.0518	7.4448	5.4387	17.6943	16.9482
6	250.0000	300.0000	11.1669	0.0000	5.2689	4.6766	0.7012	0.5203	26.6224	5.5204	5.0947	27.1888	27.1055
7	300.0000	350.0000	4.6470	0.0000	0.1188	3.4930	0.7564	0.2788	11.1358	2.7034	1.6150	11.4592	11.2523
8	350.0000	400.0000	3.7840	0.0000	1.3771	1.9225	0.3996	0.0847	37.5577	3.8256	3.4598	37.7520	37.7167
9	400.0000	450.0000	0.9123	0.0000	0.0000	0.6499	0.0852	0.1772	23.4779	13.0766	16.3380	26.8740	28.6032
10	450.0000	500.0000	1.1004	0.0000	0.0000	0.9344	0.1339	0.0320	23.2930	6.3311	6.0174	24.1381	24.0577
11	500.0000	550.0000	0.4655	0.0000	0.0000	0.4211	0.0000	0.0444	29.5347	4.8170	5.4104	29.9249	30.0262
12	550.0000	600.0000	0.5835	0.0000	0.2397	0.2816	0.0479	0.0143	46.3209	39.9721	22.1426	61.1833	51.3412
13	600.0000	650.0000	0.1234	0.0000	0.0000	0.1595	-0.0598	0.0237	100.8888	7.8905	7.7227	101.1969	101.1839
14	650.0000	700.0000	0.0247	0.0000	0.0000	0.0134	0.0000	0.0113	39.1358	46.1804	22.5253	60.5330	45.1553
15	700.0000	750.0000	0.1108	0.0000	0.0000	0.1305	0.0000	-0.0197	64.9697	4.5945	3.7458	65.1320	65.0776
16	750.0000	800.0000	0.0687	0.0000	0.0000	0.0595	0.0000	0.0092	84.4168	9.4159	5.5029	84.9403	84.5959
18	850.0000	900.0000	0.1402	0.0000	0.0000	0.0735	0.0000	0.0668	71.5054	4.4336	6.5009	71.6427	71.8003
19	900.0000	950.0000	0.0028	0.0000	0.0000	0.0000	0.0000	0.0028	20.0175	3.7959	3.7541	20.3742	20.3665
20	950.0000	1000.0000	0.0585	0.0000	0.0000	0.0472	0.0000	0.0113	110.8760	14.8600	12.9418	111.8674	111.6288
