Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	29.4779	35.0000	10.6001	17.6933	0.6944	0.4900	28.4915	1.5988	0.9806	28.5363	28.5084
2	50.0000	100.0000	218.2801	272.0000	180.7724	34.7563	0.9029	1.8484	12.0312	0.7825	0.5245	12.0566	12.0426
3	100.0000	150.0000	914.6256	1078.0000	822.1762	79.9077	3.9665	8.5752	6.0089	0.6799	0.5203	6.0473	6.0314
4	150.0000	200.0000	1112.0866	1356.0000	1025.8200	69.1174	4.0239	13.1253	5.6202	0.5805	0.6122	5.6501	5.6534
5	200.0000	250.0000	998.5541	1178.0000	942.0084	35.3283	3.3592	17.8582	5.9642	1.4198	0.8510	6.1309	6.0246
6	250.0000	300.0000	844.6981	920.0000	810.5723	17.3164	1.7048	15.1047	6.3674	0.8767	0.8470	6.4275	6.4235
7	300.0000	350.0000	591.6564	693.0000	568.7821	7.4163	0.9831	14.4749	8.1423	1.8886	1.3974	8.3585	8.2614
8	350.0000	400.0000	440.8687	561.0000	424.1003	3.0066	0.7385	13.0233	9.1711	1.0845	1.0112	9.2350	9.2267
9	400.0000	450.0000	233.8636	337.0000	223.8531	1.0954	0.1299	8.7853	12.7082	1.6856	3.7716	12.8195	13.2560
10	450.0000	500.0000	111.0961	131.0000	105.6608	0.6453	0.2092	4.5808	18.9135	2.4988	2.7910	19.0779	19.1183
11	500.0000	550.0000	33.4128	62.0000	31.6910	0.2124	0.0000	1.5095	35.3505	5.9974	4.7774	35.8556	35.6718
12	550.0000	600.0000	32.2618	23.0000	31.0304	0.0789	0.0000	1.1524	30.9087	3.9490	3.9086	31.1600	31.1549
13	600.0000	650.0000	16.6161	16.0000	16.3570	0.1265	0.0000	0.1326	37.9276	9.0223	8.6421	38.9860	38.8997
14	650.0000	700.0000	5.6103	3.0000	5.4893	0.0651	0.0000	0.0558	50.8098	9.8339	7.7003	51.7527	51.3900
15	700.0000	750.0000	5.4221	2.0000	5.3781	0.0000	0.0000	0.0440	52.4952	10.7282	7.5056	53.5802	53.0290
16	750.0000	800.0000	0.9134	1.0000	0.8013	0.0915	0.0000	0.0207	173.9434	67.1878	72.6424	186.4685	188.5026
17	800.0000	850.0000	1.7180	1.0000	1.6240	0.0000	0.0000	0.0940	94.6542	10.1667	13.8335	95.1987	95.6598
18	850.0000	900.0000	0.0075	1.0000	0.0000	0.0000	0.0000	0.0075	66.7789	9.6698	7.7050	67.4754	67.2219
20	950.0000	1000.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0016	27.1448	5.2779	5.4990	27.6531	27.6962
