Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	40.0000	60.0000	660.7533	612.0000	637.8775	13.6044	0.1563	9.1151	7.7930	5.5595	5.4377	9.5729	9.5026
2	60.0000	80.0000	530.4550	634.0000	502.3324	17.8254	0.2103	10.0869	9.0098	6.2634	5.4561	10.9730	10.5330
3	80.0000	100.0000	511.4017	625.0000	483.8660	18.8096	0.2858	8.4403	8.0472	4.7730	4.6719	9.3562	9.3050
4	100.0000	120.0000	434.7886	504.0000	403.5073	21.8285	0.2147	9.2380	8.7302	5.1025	4.9029	10.1119	10.0127
5	120.0000	140.0000	324.1176	435.0000	294.5041	20.5301	0.3061	8.7773	10.2986	6.4880	5.5864	12.1719	11.7162
6	140.0000	160.0000	355.0007	340.0000	327.9997	21.1087	0.4261	5.4661	9.0140	5.8704	5.6389	10.7570	10.6325
7	160.0000	180.0000	299.7720	302.0000	279.2302	15.4606	0.1468	4.9344	9.2309	5.7140	5.0979	10.8563	10.5451
8	180.0000	200.0000	200.9478	241.0000	183.1779	13.7840	0.1416	3.8443	13.5240	5.4821	5.3354	14.5929	14.5384
9	200.0000	220.0000	159.0929	199.0000	144.0280	11.3429	0.1128	3.6091	13.4497	7.8386	6.9275	15.5672	15.1290
10	220.0000	240.0000	161.2851	154.0000	150.8338	8.0268	0.2633	2.1612	13.7234	6.1838	5.6258	15.0523	14.8318
11	240.0000	260.0000	118.7762	122.0000	108.8426	7.6207	0.1614	2.1515	16.8350	4.9068	5.5704	17.5355	17.7326
12	260.0000	280.0000	132.6768	97.0000	124.7569	6.3512	0.0000	1.5687	12.8687	6.2476	5.6400	14.3051	14.0504
13	280.0000	300.0000	86.0944	87.0000	81.2290	4.2428	0.0193	0.6033	17.7128	5.7737	5.4273	18.6300	18.5256
14	300.0000	320.0000	52.5979	63.0000	48.4318	3.3085	0.0108	0.8468	24.8423	11.0717	9.0762	27.1978	26.4484
15	320.0000	340.0000	44.0880	49.0000	40.5936	2.8212	0.0000	0.6732	25.4925	4.8066	5.8803	25.9417	26.1619
16	340.0000	360.0000	27.3356	36.0000	24.9434	1.9367	0.0647	0.3907	38.6743	8.7272	13.1614	39.6467	40.8524
17	360.0000	380.0000	27.3348	33.0000	25.6660	1.2804	0.0000	0.3884	32.3212	14.0319	11.6478	35.2357	34.3559
18	380.0000	400.0000	24.8040	27.0000	22.8611	1.2575	0.0732	0.6122	34.5272	8.2366	6.2599	35.4960	35.0901
19	400.0000	420.0000	21.0883	13.0000	19.5286	1.0436	0.0000	0.5162	35.9353	7.8348	6.5394	36.7795	36.5254
20	420.0000	440.0000	19.7525	23.0000	18.9240	0.6273	0.0000	0.2011	35.2094	6.2186	6.9617	35.7543	35.8910
21	440.0000	460.0000	22.1007	11.0000	20.9514	0.9540	0.0000	0.1954	26.6781	5.1710	5.7011	27.1746	27.2805
22	460.0000	480.0000	24.2912	17.0000	23.7088	0.5054	0.0000	0.0770	28.1829	6.3481	7.5665	28.8890	29.1810
23	480.0000	500.0000	49.9086	68.0000	47.9839	1.1571	0.0735	0.6942	26.8461	4.2495	5.2578	27.1804	27.3562
