Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
28	0.2512	0.3768	0.7477	0.0000	0.0000	0.6508	0.0540	0.0428	22.6709	5.3758	6.7247	23.2996	23.6472	6.2907	0.4260	2.3380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.3768	0.5024	0.8122	0.0000	0.0000	0.6218	0.1849	0.0055	23.7454	3.7061	4.5336	24.0328	24.1743	3.9544	0.4055	2.1799	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.5024	0.6280	1.4483	0.0000	0.0000	1.3651	0.0492	0.0340	45.7976	1.9234	2.1766	45.8380	45.8493	1.0189	0.4593	1.8678	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
31	0.6280	0.7536	0.7337	0.0000	0.2558	0.4171	0.0442	0.0167	38.9558	33.8720	15.7564	51.6223	42.0216	33.8035	0.4587	2.1039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
32	0.7536	0.8792	0.6401	0.0000	0.0000	0.6202	0.0144	0.0055	25.9556	9.0994	9.8585	27.5044	27.7648	9.5817	0.4447	2.2768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	0.8792	1.0048	0.6144	0.0000	0.0000	0.5806	0.0767	-0.0429	29.4564	2.1201	8.4153	29.5326	30.6349	0.3521	0.4043	2.0512	0.0000	0.0000	0.0000	0.0000	5.7622	5.7622
34	1.0048	1.1304	0.4961	0.0000	0.0000	0.4900	0.0000	0.0060	31.0996	3.3068	4.3340	31.2749	31.4001	3.5910	0.4056	2.3924	0.0000	0.0000	0.0000	0.0000	0.0000	1.6378
35	1.1304	1.2560	0.6907	0.0000	0.0000	0.6421	0.0000	0.0486	23.2168	2.6577	7.4494	23.3684	24.3827	1.1744	0.4106	2.6212	0.0000	0.0000	0.0000	0.0000	0.0000	6.8612
36	1.2560	1.3816	0.9498	0.0000	0.0000	0.8628	0.0825	0.0045	21.1168	3.5851	4.8132	21.4189	21.6584	4.1869	0.4303	2.3349	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	1.3816	1.5072	0.4348	0.0000	0.0000	0.4101	0.0111	0.0136	31.9886	12.8187	3.3336	34.4614	32.1619	2.6719	0.4191	1.9488	0.0000	0.0000	0.0000	0.0000	12.3915	0.0000
38	1.5072	1.6328	0.6727	0.0000	0.0000	0.5774	0.0881	0.0072	22.9070	4.2507	3.7552	23.2980	23.2128	3.0870	0.4068	2.8937	0.0000	0.0000	0.0000	0.0000	0.0000	0.0535
39	1.6328	1.7584	0.6857	0.0000	0.0000	0.5129	0.0965	0.0763	24.9904	3.3804	3.2427	25.2180	25.1999	1.3371	0.4115	3.0773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	1.7584	1.8840	0.5392	0.0000	0.0000	0.4960	0.0402	0.0029	25.9004	5.1052	4.0259	26.3988	26.2114	4.6894	0.4046	1.9772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	1.8840	2.0096	0.5430	0.0000	0.0000	0.5367	0.0000	0.0062	26.4771	4.1650	5.2559	26.8027	26.9938	4.4915	0.4287	2.6958	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
42	2.0096	2.1352	0.6676	0.0000	0.0000	0.6089	0.0564	0.0023	23.0984	2.6764	2.0407	23.2529	23.1884	1.7316	0.4157	1.9979	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	2.1352	2.2608	0.7491	0.0000	0.0000	0.6441	0.0215	0.0835	25.0841	2.9285	2.5660	25.2545	25.2150	2.2134	0.4351	1.8676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	2.2608	2.3864	0.4151	0.0000	0.0000	0.4270	0.0000	-0.0119	28.8229	5.8328	6.6871	29.4072	29.5885	6.2926	0.4104	2.2253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
45	2.3864	2.5120	1.1630	0.0000	0.4566	0.4921	0.1244	0.0899	43.1479	15.0737	14.7374	45.7051	45.5953	14.7059	0.4022	3.2848	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
46	2.5120	2.6376	0.7685	0.0000	0.0000	0.7148	0.0407	0.0130	20.7178	3.1778	3.5290	20.9601	21.0162	2.5440	0.4062	2.4119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	2.6376	2.7632	0.3288	0.0000	-0.5518	0.7485	0.1272	0.0049	178.6694	66.8409	116.3592	190.7628	213.2187	116.3582	0.4307	0.2197	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
48	2.7632	2.8888	2.5859	0.0000	1.6650	0.8070	0.0772	0.0366	64.7897	4.2013	5.4673	64.9258	65.0200	3.9827	0.4035	3.7238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
49	2.8888	3.0144	0.8263	0.0000	0.0000	0.6694	0.1485	0.0084	23.7611	6.1097	6.4247	24.5340	24.6144	5.7623	0.4115	2.8114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	3.0144	3.1400	2.5180	0.0000	1.7148	0.6802	0.1004	0.0227	52.8131	9.4039	10.9250	53.6438	53.9312	10.8057	0.4791	1.5374	0.0000	0.0000	0.0000	0.0000	0.0000	0.7595
