Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,70000,100.0,0.0,100.0
2,Met filter,68372,97.7,2.3,97.7
3,"2 tight lep, pt,eta,id,iso",42051,60.1,38.5,61.5
4,Trigger pass,42006,60.0,0.1,99.9
5,"Jet >=2 , pt ,eta",0,0.0,100.0,0.0
6,4 object separation,0,0.0,0.0,0.0
7,m(ll) > 200,0,0.0,0.0,0.0
8,WR mass 800,0,0.0,0.0,0.0
9,m(ll) > 400,0,0.0,0.0,0.0
