Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,70000,100.0,0.0,100.0
2,Met filter,69443,99.2,0.8,99.2
3,! 4 object resolved,69443,99.2,0.0,100.0
4,"Lead lep tight, pt, eta, id, iso",64301,91.9,7.4,92.6
5,Trigger,62404,89.1,3.0,97.0
6,! m(ll) 60~150,62322,89.0,0.1,99.9
7,"fatjet pt eta sdm, dphi",35142,50.2,43.6,56.4
8,no more tight lep,35058,50.1,0.2,99.8
9,loose lep in fatjet pt eta pt eta ,32566,46.5,7.1,92.9
10,no of loose lep in fatjet ,31826,45.5,2.3,97.7
11,m(ll)> 200,31820,45.5,0.0,100.0
12,M(llJ) > 800,31457,44.9,1.1,98.9
