Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,69000,100.0,0.0,100.0
2,Met filter,67784,98.2,1.8,98.2
3,! 4 object resolved,67784,98.2,0.0,100.0
4,"Lead lep tight, pt, eta, id, iso",54524,79.0,19.6,80.4
5,Trigger,54374,78.8,0.3,99.7
6,! m(ll) 60~150,54324,78.7,0.1,99.9
7,"fatjet pt eta sdm, dphi",22110,32.0,59.3,40.7
8,no more tight lep,21969,31.8,0.6,99.4
9,loose lep in fatjet pt eta pt eta ,12474,18.1,43.2,56.8
10,no of loose lep in fatjet ,12244,17.7,1.8,98.2
11,m(ll)> 200,12242,17.7,0.0,100.0
12,M(llJ) > 800,11822,17.1,3.4,96.6
