Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	5.4383	7.0000	0.0000	4.3475	0.9405	0.1503	10.7629	0.7150	0.6771	10.7866	10.7842
2	50.0000	100.0000	12.7917	14.0000	-0.2711	10.9835	1.6200	0.4593	18.9813	2.8101	2.8397	19.1882	19.1925
3	100.0000	150.0000	13.2401	14.0000	0.5331	10.4571	1.7734	0.4765	7.1565	2.6549	2.0890	7.6331	7.4552
4	150.0000	200.0000	10.7567	11.0000	0.0000	9.0933	1.3291	0.3342	7.0778	0.8350	1.3258	7.1269	7.2009
5	200.0000	250.0000	6.2290	6.0000	0.0000	5.5867	0.4694	0.1729	8.9358	1.1699	1.1567	9.0121	9.0103
6	250.0000	300.0000	5.0325	8.0000	1.4141	3.2298	0.0825	0.3061	29.3931	3.3067	3.9226	29.5785	29.6537
7	300.0000	350.0000	2.8137	3.0000	0.0000	2.5010	0.1063	0.2064	13.2431	2.0209	1.4699	13.3964	13.3244
8	350.0000	400.0000	1.6226	1.0000	0.0000	1.3021	0.1721	0.1484	16.6659	2.3341	2.5156	16.8286	16.8547
9	400.0000	450.0000	0.7203	0.0000	0.0000	0.5720	0.0000	0.1482	25.1103	3.3258	4.9294	25.3296	25.5896
10	450.0000	500.0000	0.5737	0.0000	0.0000	0.4250	0.1107	0.0380	26.3920	4.2118	5.2912	26.7260	26.9172
11	500.0000	550.0000	0.1444	0.0000	0.0000	0.0813	0.0000	0.0632	62.5440	6.3982	6.7875	62.8704	62.9112
12	550.0000	600.0000	0.0937	0.0000	0.0000	0.0803	0.0000	0.0134	50.4032	2.7644	6.1363	50.4789	50.7753
14	650.0000	700.0000	0.0464	0.0000	0.0000	0.0345	0.0000	0.0119	54.7318	13.3187	21.5125	56.3290	58.8078
15	700.0000	750.0000	0.0735	0.0000	0.0000	0.0539	0.0000	0.0196	51.0354	11.2772	3.0650	52.2665	51.1274
16	750.0000	800.0000	0.0614	0.0000	0.0000	0.0498	0.0000	0.0116	81.5701	15.3072	11.2033	82.9939	82.3359
17	800.0000	850.0000	0.0043	0.0000	0.0000	0.0000	0.0000	0.0043	16.5018	0.8163	0.7672	16.5220	16.5196
18	850.0000	900.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0034	17.9265	0.9180	1.5255	17.9500	17.9913
19	900.0000	950.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0024	24.0349	6.7920	7.6410	24.9761	25.2203
20	950.0000	1000.0000	0.0633	0.0000	0.0000	0.0530	0.0000	0.0104	83.7430	12.8605	7.5348	84.7248	84.0813
