Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	4.4183	3.0000	0	3.6723	0.6691	0.0770	11.3261	3.0363	3.3954	11.7260	11.8241
2	50.0000	100.0000	7.6441	6.0000	0	6.4913	0.9538	0.1990	8.5913	3.4639	3.4770	9.2634	9.2683
3	100.0000	150.0000	11.1504	9.0000	0	9.2963	1.6020	0.2521	6.9366	3.0423	3.0286	7.5745	7.5690
4	150.0000	200.0000	8.3332	8.0000	0	6.9213	1.2842	0.1277	7.9101	4.1001	3.4606	8.9096	8.6340
5	200.0000	250.0000	7.2141	6.0000	0	5.8275	1.1324	0.2543	8.8452	3.3552	2.9600	9.4602	9.3274
6	250.0000	300.0000	5.6353	6.0000	0	4.7562	0.4809	0.3981	9.6489	3.3909	3.4678	10.2274	10.2531
7	300.0000	350.0000	3.0791	1.0000	0	2.6082	0.3024	0.1684	12.3000	2.9533	3.1980	12.6496	12.7090
8	350.0000	400.0000	1.8082	3.0000	0	1.2573	0.4102	0.1407	15.8260	2.6287	2.9644	16.0428	16.1012
9	400.0000	450.0000	1.4019	0.0000	0	1.1743	0.1603	0.0673	18.6711	4.5379	5.1044	19.2146	19.3562
10	450.0000	500.0000	0.6847	0.0000	0	0.5629	0.0838	0.0380	26.3789	2.8267	2.0161	26.5300	26.4559
11	500.0000	550.0000	0.3589	1.0000	0	0.2166	0.0428	0.0995	37.1653	13.6237	16.1420	39.5836	40.5194
12	550.0000	600.0000	0.4208	0.0000	0	0.2953	0.0801	0.0455	32.6648	7.5290	5.0896	33.5213	33.0589
13	600.0000	650.0000	0.0327	0.0000	0	0.0376	0.0000	-0.0048	221.9591	26.4750	27.9504	223.5325	223.7120
14	650.0000	700.0000	0.1007	0.0000	0	0.0785	0.0130	0.0092	86.7578	5.8394	2.0707	86.9541	86.7825
15	700.0000	750.0000	0.0069	0.0000	0	0.0026	0.0000	0.0043	39.0555	51.3253	28.9122	64.4951	48.5927
16	750.0000	800.0000	0.0546	0.0000	0	0.0431	0.0000	0.0114	57.0856	3.1319	4.4904	57.1715	57.2620
17	800.0000	850.0000	0.0108	0.0000	0	0.0000	0.0000	0.0108	70.2926	41.7116	34.9631	81.7368	78.5078
18	850.0000	900.0000	0.0047	0.0000	0	0.0000	0.0000	0.0047	50.4246	60.8590	29.6744	79.0345	58.5082
20	950.0000	1000.0000	0.0051	0.0000	0	0.0000	0.0000	0.0051	15.0336	3.9482	2.3521	15.5434	15.2165
