Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
2	50.0000	100.0000	19.8143	14.0000	0	14.7161	4.5933	0.5049	5.2281	3.1554	3.1450	6.1065	6.1011	0.2625	0.4205	2.9907	0.8758	0.0000	0.0000	0.0000	0.0000
3	100.0000	150.0000	12.3112	16.0000	0	11.0446	1.0278	0.2387	6.4495	4.0746	4.1090	7.6288	7.6472	2.9128	0.4163	2.7488	0.8189	0.0000	0.0000	0.0000	0.0000
4	150.0000	200.0000	7.2124	2.0000	0	6.5024	0.3909	0.3191	8.6672	3.2320	2.8653	9.2501	9.1285	1.6330	0.4155	2.6379	0.8049	0.0000	0.0000	0.0000	0.0000
6	250.0000	300.0000	1.6690	1.0000	0	1.5621	0.0644	0.0425	17.4440	5.2331	4.4490	18.2121	18.0024	4.6540	0.3982	2.2773	0.6169	0.0000	0.0000	0.0000	0.0000
7	300.0000	500.0000	3.3890	2.0000	0	2.7139	0.0701	0.6050	12.3603	3.0751	2.9667	12.7371	12.7113	0.8135	0.4069	2.8540	0.6956	0.0000	0.0000	0.0000	0.0000
