Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
1	0.0000	100.0000	0.4545	0.0000	0	0.0000	0.3219	0.1326	34.2612	5.9999	9.0449	34.7826	35.4350	8.9398	0.4705	1.2924	0.0000	0.0000	0.0000	0.0000	0.0000
2	100.0000	200.0000	8.9651	7.0000	0	6.8934	1.7771	0.2946	7.6932	3.8662	3.8128	8.6101	8.5862	1.6886	0.4386	3.3043	0.9928	0.0000	0.0000	0.0000	0.0000
3	200.0000	300.0000	16.6275	13.0000	0	14.1708	2.1606	0.2961	5.6445	3.9590	3.5243	6.8945	6.6544	2.6214	0.4167	2.7996	0.8890	0.0000	0.0000	0.0000	0.0000
4	300.0000	400.0000	12.4646	14.0000	0	10.9979	1.1237	0.3430	6.5320	2.9870	2.9837	7.1826	7.1812	0.1409	0.4072	2.8616	0.7403	0.0000	0.0000	0.0000	0.0000
5	400.0000	500.0000	4.6587	3.0000	0	3.8275	0.4297	0.4015	10.8113	2.5652	2.6120	11.1114	11.1223	0.6448	0.4036	2.4036	0.6830	0.0000	0.0000	0.0000	0.0000
6	500.0000	1000.0000	1.1725	3.0000	0	2.8366	-2.0448	0.3807	206.5188	111.9267	161.4110	234.8992	262.1136	161.3430	0.4085	4.6064	0.7524	0.0000	0.0000	0.0000	0.0000
