Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,68000,100.0,0.0,100.0
2,Met filter,68000,100.0,0.0,100.0
3,! 4 object resolved,67256,98.9,1.1,98.9
4,"Lead lep tight, pt, eta, id, iso",54464,80.1,19.0,81.0
5,Trigger,54252,79.8,0.4,99.6
6,! m(ll) 60~150,54202,79.7,0.1,99.9
7,"fatjet pt eta sdm, dphi",21935,32.3,59.5,40.5
8,no more tight lep,21816,32.1,0.5,99.5
9,loose lep in fatjet pt eta pt eta ,11831,17.4,45.8,54.2
10,no of loose lep in fatjet ,11656,17.1,1.5,98.5
11,m(ll)> 200,11654,17.1,0.0,100.0
12,M(llJ) > 800,11314,16.6,2.9,97.1
