Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR4000N100EE	WR4000N2100EE
1	0.0000	10.0000	0.1670	0.0000	0.0000	0.0099	0.1554	0.0017	55.5404	1.5853	6.2313	55.5630	55.8889	6.0262	0.4208	1.3331	0.7478	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	83.7597	110.6513	60.9676	138.7783	103.5989	110.5799	0.4171	3.8949	0.6829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.4481	1.4331	7.7189	59.4654	59.9471	7.5847	0.4209	1.1458	0.7508	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.3848	3.9191	5.0236	27.6638	27.8418	3.4416	0.4288	3.5355	0.8418	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0001
3	20.0000	30.0000	0.3124	0.0000	0.0000	0.1541	0.0776	0.0806	51.3661	2.4323	4.5950	51.4236	51.5712	4.0805	0.4586	1.7215	1.1355	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.4925	8.6540	9.6782	58.1401	58.3014	9.0881	0.4682	2.9800	1.4046	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	122.1025	10.8867	10.4917	122.5868	122.5524	10.8739	0.3651	0.1673	0.3431	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	117.0761	2.2628	9.1868	117.0979	117.4360	8.9038	0.5302	0.8122	2.0442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0236	0.0030	0.0006
4	30.0000	40.0000	0.6054	0.0000	0.0000	0.1303	0.4414	0.0337	26.9069	6.8914	4.9727	27.7754	27.3626	6.5959	0.4367	1.7847	0.7809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	53.7460	3.4535	5.7587	53.8569	54.0536	5.5669	0.4593	1.2755	0.5775	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.5455	7.4170	3.9408	33.3799	32.7832	7.1023	0.4324	1.9061	0.8658	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	93.4979	13.5864	17.0882	94.4799	95.0467	16.9396	0.4058	2.1644	0.4559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0021	0.0015
5	40.0000	50.0000	0.9582	0.0000	0.0000	0.2914	0.5553	0.1115	23.9493	5.3949	7.4663	24.5494	25.0862	6.7245	0.4181	3.1590	0.6104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.6239	17.4148	14.2256	45.1201	43.9877	17.1418	0.4388	2.9612	0.6871	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.5419	2.8065	4.9372	30.6705	30.9383	4.0619	0.4110	2.6966	0.6602	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.9527	13.8311	14.4158	87.0584	87.1533	13.1111	0.3994	5.9774	0.1617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0022
6	50.0000	60.0000	3.5548	0.0000	1.6214	0.9794	0.9062	0.0478	50.5340	12.0638	11.5341	51.9540	51.8335	11.8390	0.4546	2.2429	0.3683	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	17.5637	14.1314	101.5307	100.9935	17.4893	0.5061	1.5329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.4356	17.6818	15.9954	76.5069	76.1348	17.2523	0.4096	3.7968	0.6480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3158	1.9895	3.9769	28.3856	28.5937	3.4434	0.4128	1.8109	0.7131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.6572	3.0610	2.9541	55.7413	55.7355	1.2831	0.4216	2.6818	0.5946	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0070	0.0014
7	60.0000	70.0000	1.0842	0.0000	0.0000	0.1280	0.8710	0.0852	24.5916	11.3271	7.7225	27.0749	25.7756	11.0660	0.4118	2.3116	0.5772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.0804	16.8804	6.1934	86.7388	85.3055	16.7616	0.3804	1.9558	0.1617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.8725	13.8098	11.1157	28.4491	27.2433	13.5956	0.4211	2.3036	0.6214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	130.1166	11.0624	8.1921	130.5860	130.3742	10.6354	0.3646	2.9272	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0104	0.0017
8	70.0000	80.0000	12.6624	0.0000	0.5895	0.5272	11.1079	0.4378	83.3301	3.0963	4.6858	83.3876	83.4618	4.2031	0.4901	1.8007	0.8989	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	291.5089	82.8173	51.6378	303.0448	296.0472	82.1732	0.3972	10.2110	1.3609	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.3486	1.8765	7.9496	31.4047	32.3409	7.7250	0.4123	1.6656	0.7596	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	93.6898	5.9877	9.0400	93.8809	94.1249	8.8833	0.5006	1.3191	0.9047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.3105	3.8222	11.3969	51.4527	52.5610	11.0198	0.4426	2.8583	0.2979	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0117	0.0021
9	80.0000	90.0000	1.6102	0.0000	0.0000	0.5194	1.0298	0.0610	18.0228	2.2077	2.2545	18.1575	18.1632	0.4862	0.4152	2.0462	0.6977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.3923	7.0327	10.0198	30.2220	31.0533	9.7030	0.4128	2.3666	0.6902	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.7020	4.7383	4.0066	24.1709	24.0382	4.2975	0.4156	1.8007	0.7535	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.8935	14.8916	10.7461	61.7170	60.8499	14.4758	0.4271	3.4632	0.1804	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0182	0.0027
10	90.0000	100.0000	1.8850	0.0000	0.7777	0.5744	0.3093	0.2236	75.5039	57.2104	41.9238	94.7305	86.3623	56.9880	0.4572	4.8736	1.1960	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	180.6786	143.9014	102.8642	230.9813	207.9082	143.6922	0.5061	7.5433	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5798	3.3962	3.8400	28.7809	28.8366	1.7922	0.4357	3.2616	0.8402	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.3787	4.3706	6.7288	37.6334	37.9796	5.6896	0.4150	3.4267	0.9955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.6671	7.2896	10.9134	47.2330	47.9262	10.7554	0.4010	1.7302	0.5194	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0151	0.0022
11	100.0000	110.0000	1.9005	0.0000	0.7652	0.4168	0.6738	0.0447	42.3530	10.2148	14.7144	43.5674	44.8362	14.2991	0.4493	3.2269	1.1975	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	100.0000	28.3257	36.4309	103.9343	106.4294	36.1136	0.5061	4.3577	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.2978	6.2079	5.0035	34.8551	34.6609	5.4842	0.4119	2.8113	0.6231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.7685	2.6767	3.7959	29.8886	30.0095	2.6914	0.4107	2.5390	0.7414	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.6629	3.4698	2.0796	92.7279	92.6863	2.7930	0.4079	1.8857	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	0.1277	0.0256	0.0022
