Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	312.1399	0.0000	31.1046	239.0349	5.1920	36.8084	4.1809	0.0000	0.3784	4.1809	4.1980
3	100.0000	150.0000	365.5576	0.0000	88.9632	234.2675	3.1967	39.1301	4.9138	0.9257	0.4292	5.0002	4.9325
4	150.0000	200.0000	269.3736	0.0000	101.9319	145.8916	1.1233	20.4267	8.2902	1.3788	0.3752	8.4041	8.2987
5	200.0000	250.0000	140.5830	0.0000	64.8194	63.8133	0.6956	11.2547	14.2747	1.9777	1.0409	14.4111	14.3126
6	250.0000	300.0000	78.6496	0.0000	49.5982	22.7281	0.1332	6.1901	17.0359	0.5447	0.4185	17.0446	17.0410
7	300.0000	350.0000	37.5512	0.0000	26.6414	8.9569	0.0839	1.8690	26.7381	0.3022	6.6851	26.7398	27.5611
8	350.0000	400.0000	7.8706	0.0000	4.6579	2.2542	0.0000	0.9585	107.6825	38.1519	16.5103	114.2414	108.9408
9	400.0000	450.0000	6.4214	0.0000	5.3719	0.9174	0.0000	0.1321	77.6375	17.3263	13.4279	79.5474	78.7902
10	450.0000	500.0000	4.4238	0.0000	3.6629	0.4841	0.0000	0.2768	83.8075	10.2771	4.3637	84.4353	83.9210
11	500.0000	550.0000	5.8767	0.0000	5.6872	0.1770	0.0000	0.0125	55.9025	0.0000	4.3300	55.9025	56.0700
13	600.0000	650.0000	2.1896	0.0000	1.8774	0.0000	0.0000	0.3123	86.8922	9.7258	9.3331	87.4348	87.3920
15	700.0000	750.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0009	302.6120	312.2312	148.1167	434.8130	336.9163
17	800.0000	850.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0010	100.0000	2.7329	5.9395	100.0373	100.1762
18	850.0000	900.0000	1.9672	0.0000	1.9672	0.0000	0.0000	0.0000	100.0000	2.7329	5.9395	100.0373	100.1762
20	950.0000	1000.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0015	100.0000	6.9708	7.6951	100.2427	100.2956
