Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	800.0000	1000.0000	545.7551	0.0000	134.0030	363.4233	4.6211	43.7077	4.8246	0.2567	0.3677	4.8314	4.8386
2	1000.0000	1200.0000	315.6551	0.0000	99.1851	182.7555	2.6756	31.0388	6.8137	1.8574	1.0918	7.0623	6.9006
3	1200.0000	1400.0000	167.0297	0.0000	62.9690	84.7663	1.3116	17.9830	9.9039	0.0000	1.5132	9.9039	10.0189
4	1400.0000	1600.0000	82.3451	0.0000	31.2821	40.7183	0.6927	9.6520	14.3789	0.7515	0.5314	14.3985	14.3887
5	1600.0000	2000.0000	74.7175	0.0000	33.3646	31.7428	0.7757	8.8344	17.0501	12.2856	4.8033	21.0153	17.7138
6	2000.0000	2400.0000	19.6788	0.0000	6.3221	9.1281	0.2084	4.0202	39.6124	11.5766	10.6069	41.2693	41.0079
7	2400.0000	2800.0000	21.0087	0.0000	15.7701	3.8731	0.1395	1.2259	29.0192	2.0904	4.1111	29.0944	29.3090
8	2800.0000	3200.0000	2.0585	0.0000	0.0000	1.4363	0.0000	0.6222	15.5429	2.7647	4.7416	15.7869	16.2501
9	3200.0000	8000.0000	0.9890	0.0000	0.0000	0.6909	0.0000	0.2981	22.3424	4.5367	4.4676	22.7984	22.7847
