Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	41.1075	0.0000	1.8562	35.7558	0.7658	2.7297	5.5588	0.9176	0.4739	5.6341	5.5790
3	100.0000	150.0000	154.6371	0.0000	13.1032	127.5184	2.7598	11.2558	4.3173	0.5609	0.9835	4.3536	4.4279
4	150.0000	200.0000	200.7584	0.0000	22.2650	158.7369	1.8728	17.8836	5.5185	1.1356	0.6572	5.6342	5.5575
5	200.0000	250.0000	210.6330	0.0000	45.5169	145.4938	1.9285	17.6939	8.7157	1.3962	0.0000	8.8269	8.7157
6	250.0000	300.0000	195.1352	0.0000	68.3115	105.1361	0.8539	20.8336	9.8797	0.8021	1.7005	9.9122	10.0250
7	300.0000	350.0000	161.5128	0.0000	75.3146	69.1608	1.0130	16.0245	10.7568	1.1339	1.2035	10.8164	10.8239
8	350.0000	400.0000	103.5426	0.0000	55.3498	38.8909	0.2921	9.0097	15.0478	1.9719	0.7315	15.1765	15.0656
9	400.0000	450.0000	62.4505	0.0000	36.3549	18.5228	0.4219	7.1509	19.6492	5.1630	3.8047	20.3162	20.0142
10	450.0000	500.0000	52.6088	0.0000	37.9438	9.1720	0.1726	5.3204	19.9923	3.2836	1.9649	20.2602	20.0887
11	500.0000	550.0000	22.2612	0.0000	13.4688	4.4905	0.2128	4.0891	28.6095	0.0000	2.2282	28.6095	28.6961
12	550.0000	600.0000	7.5798	0.0000	3.2854	2.5705	0.0850	1.6389	60.1634	8.6958	8.0172	60.7886	60.6952
13	600.0000	650.0000	7.9553	0.0000	5.7253	1.6132	0.0000	0.6168	71.3596	3.5313	2.0530	71.4469	71.3891
14	650.0000	700.0000	1.2205	0.0000	0.0000	0.5703	0.0000	0.6503	23.9308	0.0000	2.3038	23.9308	24.0414
15	700.0000	750.0000	9.0884	0.0000	7.8686	0.4810	0.0000	0.7388	50.9152	0.8885	3.1005	50.9229	51.0095
16	750.0000	800.0000	0.3209	0.0000	-0.0075	0.0631	0.0464	0.2188	821.5494	0.0000	51.2610	821.5494	823.1471
18	850.0000	900.0000	0.3971	0.0000	0.1625	0.1133	0.0000	0.1212	637.5234	65.6586	77.4393	640.8956	642.2095
19	900.0000	950.0000	0.0530	0.0000	0.0000	0.0334	0.0000	0.0196	64.6934	5.8275	2.7920	64.9553	64.7536
