Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	187.7575	0.0000	9.9933	149.7433	4.9089	23.1120	5.5603	64.7292	64.7322	64.9676	64.9706
3	100.0000	150.0000	251.8961	0.0000	69.3157	155.6110	1.8000	25.1694	6.1725	94.1018	94.1020	94.3040	94.3042
4	150.0000	200.0000	184.9117	0.0000	68.7995	98.5604	0.6888	16.8629	10.2666	100.0128	100.0137	100.5383	100.5393
5	200.0000	250.0000	101.5316	0.0000	47.9739	43.6850	0.3912	9.4816	16.7865	100.0134	100.0410	101.4124	101.4395
6	250.0000	300.0000	29.2256	0.0000	7.2330	16.4653	0.0860	5.4413	41.3761	100.0138	100.1478	108.2346	108.3585
7	300.0000	350.0000	21.1159	0.0000	14.7350	4.9936	0.0395	1.3479	42.1551	100.3585	100.0427	108.8525	108.5615
8	350.0000	400.0000	21.5384	0.0000	18.6479	1.7328	0.0000	1.1577	33.0665	100.2958	100.1792	105.6060	105.4953
9	400.0000	450.0000	12.7250	0.0000	11.3994	0.7026	0.0000	0.6229	42.1731	100.1047	100.0118	108.6256	108.5400
10	450.0000	500.0000	13.3886	0.0000	12.7819	0.2240	0.0000	0.3826	42.1195	100.6155	100.4011	109.0758	108.8781
11	500.0000	550.0000	2.0263	0.0000	1.8428	0.0688	0.0000	0.1147	91.1078	101.0068	100.9013	136.0257	135.9474
12	550.0000	600.0000	0.0387	0.0000	0.0000	0.0366	0.0000	0.0021	94.8061	100.5408	100.2438	138.1906	137.9747
13	600.0000	650.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0011	200.7475	100.2384	100.3271	224.3820	224.4217
14	650.0000	700.0000	0.5248	0.0000	0.0000	0.0000	0.0000	0.5248	70.1087	100.2815	100.0462	122.3585	122.1657
16	750.0000	800.0000	0.0770	0.0000	0.0770	0.0000	0.0000	0.0000	3367.0424	142.3810	100.0153	3370.0515	3368.5275
19	900.0000	950.0000	1.9876	0.0000	1.9876	0.0000	0.0000	0.0000	100.0000	100.1278	100.3202	141.5118	141.6479
