Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	83.1786	0.0000	10.8751	65.9339	0.9233	5.4464	12.4612	69.6405	69.6378	70.7466	70.7439
2	50.0000	100.0000	199.0219	0.0000	48.3274	137.2358	1.5562	11.9024	8.1497	83.2155	83.2135	83.6136	83.6116
3	100.0000	150.0000	174.5394	0.0000	44.2882	114.4024	1.6948	14.1540	8.9309	91.5831	91.5859	92.0175	92.0203
4	150.0000	200.0000	130.7249	0.0000	45.2115	71.5667	1.4231	12.5236	11.0137	94.9306	94.9359	95.5674	95.5727
5	200.0000	250.0000	94.5419	0.0000	41.5537	38.3840	0.9776	13.6267	12.4208	98.8825	98.8835	99.6595	99.6606
6	250.0000	300.0000	61.9975	0.0000	30.5720	21.0183	0.7115	9.6957	19.8490	100.0151	100.0239	101.9657	101.9743
7	300.0000	350.0000	26.2512	0.0000	8.0887	11.2376	0.1224	6.8026	29.9513	100.2358	100.4901	104.6150	104.8587
8	350.0000	400.0000	20.3513	0.0000	11.5412	5.9187	0.1233	2.7682	33.1839	100.0114	100.0259	105.3729	105.3866
9	400.0000	450.0000	19.4487	0.0000	15.3667	2.2981	0.1294	1.6544	31.1879	100.0316	100.0212	104.7808	104.7709
10	450.0000	500.0000	6.9178	0.0000	3.2889	1.6136	0.0438	1.9715	77.9560	100.8081	102.0315	127.4339	128.4039
11	500.0000	550.0000	4.0887	0.0000	2.0152	1.0235	0.0409	1.0091	156.3153	100.5536	100.0092	185.8642	185.5702
13	600.0000	650.0000	0.9446	0.0000	0.0000	0.2384	0.0000	0.7063	28.8473	100.0288	100.0512	104.1054	104.1269
14	650.0000	700.0000	0.2273	0.0000	0.0000	0.0384	0.0000	0.1889	62.8330	100.2292	100.2684	118.2957	118.3290
15	700.0000	750.0000	3.9101	0.0000	3.6697	0.0332	0.0862	0.1210	66.5940	100.0102	100.2322	120.1533	120.3381
16	750.0000	800.0000	0.4694	0.0000	0.0000	0.0335	0.0388	0.3971	65.3420	101.3068	100.9669	120.5514	120.2660
17	800.0000	850.0000	0.0531	0.0000	0.0000	0.0000	0.0430	0.0102	81.3556	100.0135	100.0257	128.9241	128.9336
19	900.0000	950.0000	1.9946	0.0000	1.9650	0.0286	0.0000	0.0010	98.5264	100.0094	100.0622	140.3899	140.4275
20	950.0000	1000.0000	1.9233	0.0000	1.8095	0.0000	0.0000	0.1137	94.2223	100.3715	100.3209	137.6672	137.6303
