Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	43.8970	0.0000	9.3625	26.3075	4.3720	3.8550	11.6575	89.8210	89.8243	90.5743	90.5776
3	100.0000	150.0000	37.8588	0.0000	0.0182	28.6343	5.0303	4.1760	12.6567	92.9790	92.9619	93.8365	93.8195
4	150.0000	200.0000	28.2329	0.0000	1.9960	20.7506	2.8025	2.6837	8.1030	94.1660	94.1745	94.5140	94.5224
5	200.0000	250.0000	17.7047	0.0000	0.0027	14.2411	1.9376	1.5233	22.0736	92.2345	92.2205	94.8390	94.8254
6	250.0000	300.0000	10.9017	0.0000	-0.1199	8.8623	0.9511	1.2082	23.9891	95.4533	95.4464	98.4216	98.4149
7	300.0000	350.0000	6.7931	0.0000	-0.2274	5.2079	0.8126	0.9999	41.7313	94.6008	94.5747	103.3964	103.3725
8	350.0000	400.0000	6.2952	0.0000	2.0555	2.7200	0.5135	1.0061	34.0023	97.4600	97.4438	103.2212	103.2058
9	400.0000	450.0000	1.9042	0.0000	0.0271	1.3120	0.1302	0.4349	141.0195	98.1358	98.1164	171.8055	171.7944
10	450.0000	500.0000	1.3789	0.0000	0.0000	1.2140	0.1255	0.0394	17.3039	93.3342	92.2425	94.9247	93.8515
11	500.0000	550.0000	1.0484	0.0000	0.0000	0.6716	0.0971	0.2797	30.2755	85.4425	85.5522	90.6478	90.7512
12	550.0000	600.0000	4.6431	0.0000	4.1456	0.3450	0.0447	0.1078	63.3722	112.8881	106.0338	129.4595	123.5281
14	650.0000	700.0000	0.0398	0.0000	0.0000	0.0331	0.0000	0.0067	188.4234	105.5449	104.8972	215.9701	215.6543
15	700.0000	750.0000	0.0710	0.0000	0.0000	0.0682	0.0000	0.0028	68.0372	100.2197	100.2590	121.1324	121.1648
16	750.0000	800.0000	0.0419	0.0000	0.0000	0.0000	0.0417	0.0003	99.3734	7.0253	7.7523	99.6214	99.6753
17	800.0000	850.0000	0.0047	0.0000	0.0000	0.0000	0.0000	0.0047	51.5848	96.4824	96.0089	109.4068	108.9894
18	850.0000	900.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0022	145.4177	47.7603	46.6409	153.0600	152.7144
19	900.0000	950.0000	0.0338	0.0000	0.0000	0.0331	0.0000	0.0007	98.2178	100.5924	100.5723	140.5901	140.5757
20	950.0000	1000.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0020	74.5344	17.2259	17.6452	76.4991	76.5946
