Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,67000,100.0,0.0,100.0
2,Met filter,67000,100.0,0.0,100.0
3,"2 tight lep, pt,eta,id,iso",51456,76.8,23.2,76.8
4,Trigger pass,51193,76.4,0.5,99.5
5,"Jet >=2 , pt ,eta",46968,70.1,8.3,91.7
6,4 object separation,46815,69.9,0.3,99.7
7,m(ll) > 200,46815,69.9,0.0,100.0
8,WR mass 800,46815,69.9,0.0,100.0
9,m(ll) > 400,41746,62.3,10.8,89.2
