Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct
1	50.0000	90.0000	1.6418	2.0000	0	1.0778	0.5256	0.0383	15.7196	1.8889	1.9584	15.8326	15.8411	1.6221	0.4690	0.9919	0.0000	0.0000	0.0000	0.0000
2	90.0000	130.0000	7.1446	7.0000	0	5.3665	1.1405	0.6376	7.7957	1.7805	2.1736	7.9965	8.0931	1.9102	0.4532	0.9330	0.0000	0.0000	0.0000	0.0000
3	130.0000	170.0000	14.1855	11.0000	0	11.6851	1.2040	1.2964	6.0015	1.0970	0.8303	6.1010	6.0587	0.7169	0.4358	0.7068	0.0000	0.0000	0.0000	0.0000
4	170.0000	210.0000	20.5566	18.0000	0	16.6116	1.8212	2.1238	4.8657	0.8336	0.8346	4.9366	4.9368	0.0420	0.4268	0.7160	0.0000	0.0000	0.0000	0.0000
5	210.0000	250.0000	27.0579	21.0000	0	20.4670	3.9137	2.6771	4.6166	1.4081	0.8839	4.8266	4.7005	1.1587	0.4241	0.6785	0.0000	0.0000	0.0000	0.0000
6	250.0000	290.0000	24.6935	22.0000	0	19.8352	1.9087	2.9496	4.4817	1.4269	1.1654	4.7033	4.6307	1.2221	0.4119	0.6107	0.0000	0.0000	0.0000	0.0000
7	290.0000	310.0000	11.6134	9.0000	0	9.3351	0.8595	1.4187	6.9328	1.2603	0.7412	7.0464	6.9723	1.0192	0.4108	0.6170	0.0000	0.0000	0.0000	0.0000
8	310.0000	350.0000	21.3494	24.0000	0	16.3164	1.5549	3.4781	5.0110	1.1286	0.7857	5.1365	5.0722	0.8629	0.4110	0.6002	0.0000	0.0000	0.0000	0.0000
9	350.0000	390.0000	17.0452	12.0000	0	13.3026	0.8526	2.8900	5.5431	1.2271	0.9885	5.6773	5.6305	0.9900	0.4066	0.6004	0.0000	0.0000	0.0000	0.0000
10	390.0000	430.0000	11.6835	4.0000	0	8.4061	0.4428	2.8347	7.7219	0.7026	1.5204	7.7538	7.8702	1.3483	0.4049	0.5743	0.0000	0.0000	0.0000	0.0000
11	430.0000	470.0000	7.9210	2.0000	0	5.1763	0.6392	2.1056	8.3745	1.8719	1.4239	8.5812	8.4947	1.7394	0.4017	0.5633	0.0000	0.0000	0.0000	0.0000
12	470.0000	510.0000	5.4077	2.0000	0	3.3620	0.1661	1.8795	13.8637	1.1240	0.7953	13.9092	13.8865	0.8868	0.3967	0.5654	0.0000	0.0000	0.0000	0.0000
13	510.0000	550.0000	3.9216	3.0000	0	2.1171	0.1260	1.6785	15.2692	1.8813	0.9513	15.3847	15.2988	1.7499	0.4002	0.5632	0.0000	0.0000	0.0000	0.0000
14	550.0000	590.0000	1.7979	2.0000	0	1.3411	0.0439	0.4129	17.5198	0.7312	1.2236	17.5350	17.5625	1.0140	0.3998	0.5560	0.0000	0.0000	0.0000	0.0000
15	590.0000	630.0000	1.2981	1.0000	0	0.7616	0.1388	0.3977	20.9847	6.6294	5.4145	22.0070	21.6720	6.5937	0.4003	0.5590	0.0000	0.0000	0.0000	0.0000
16	630.0000	670.0000	0.9288	0.0000	0	0.6931	0.0393	0.1964	22.0779	3.1140	3.3189	22.2965	22.3260	3.2459	0.4014	0.5639	0.0000	0.0000	0.0000	0.0000
17	670.0000	710.0000	0.8730	3.0000	0	0.3487	0.1235	0.4008	28.7550	0.6932	0.7779	28.7633	28.7655	0.3704	0.4098	0.5478	0.0000	0.0000	0.0000	0.0000
18	710.0000	750.0000	0.3904	0.0000	0	0.2278	0.0537	0.1089	37.7173	10.3166	8.5082	39.1028	38.6650	10.2714	0.3605	0.8943	0.0000	0.0000	0.0000	0.0000
19	750.0000	790.0000	0.2193	0.0000	0	0.0356	0.0000	0.1837	60.3197	7.5798	8.4641	60.7940	60.9106	8.4395	0.3962	0.5082	0.0000	0.0000	0.0000	0.0000
20	790.0000	830.0000	0.1231	0.0000	0	0.1050	0.0101	0.0081	50.0502	0.6451	3.5274	50.0543	50.1743	3.4679	0.3972	0.5083	0.0000	0.0000	0.0000	0.0000
21	830.0000	870.0000	0.0978	0.0000	0	0.0000	0.0000	0.0978	90.3646	20.6170	18.1009	92.6866	92.1596	20.6066	0.3983	0.5194	0.0000	0.0000	0.0000	0.0000
22	870.0000	910.0000	0.0440	0.0000	0	0.0366	0.0010	0.0064	139.7358	7.7672	8.9618	139.9515	140.0229	8.9392	0.3972	0.4961	0.0000	0.0000	0.0000	0.0000
23	910.0000	950.0000	0.2008	0.0000	0	0.0000	0.0108	0.1900	65.7539	11.2317	8.4612	66.7063	66.2961	11.2131	0.3972	0.5086	0.0000	0.0000	0.0000	0.0000
24	950.0000	1000.0000	0.0410	0.0000	0	0.0337	0.0010	0.0063	83.0321	11.5707	7.0433	83.8344	83.3303	11.5520	0.3972	0.5223	0.0000	0.0000	0.0000	0.0000
