Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	51.6259	41.0000	2.4758	48.4627	0.0000	0.6874	5.8717	3.8860	3.8130	7.0411	7.0011
2	50.0000	100.0000	90.9335	91.0000	-1.1721	90.2398	0.0000	1.8658	2.9345	3.0558	2.9340	4.2366	4.1497
3	100.0000	150.0000	86.6004	87.0000	0.0000	77.5292	6.2409	2.8303	7.5837	3.4719	3.8782	8.3407	8.5178
4	150.0000	200.0000	57.7717	55.0000	0.0000	54.4945	0.0000	3.2772	2.9315	2.8887	2.8980	4.1156	4.1221
5	200.0000	250.0000	32.9225	39.0000	0.0000	31.2058	0.0000	1.7168	3.8599	2.8254	2.6778	4.7835	4.6978
6	250.0000	300.0000	21.9242	17.0000	0.0000	19.9026	0.0000	2.0215	4.7176	3.8103	3.9348	6.0642	6.1432
7	300.0000	350.0000	13.3719	19.0000	0.0000	11.4900	0.0000	1.8819	5.9475	2.8436	2.7937	6.5923	6.5709
8	350.0000	400.0000	8.0693	10.0000	0.0000	7.1579	0.0000	0.9114	7.7253	2.9166	2.9227	8.2576	8.2597
9	400.0000	450.0000	4.0901	2.0000	0.0000	3.3362	0.0000	0.7539	10.7335	3.6707	3.5342	11.3438	11.3004
10	450.0000	500.0000	3.2048	3.0000	0.0000	3.0166	0.0000	0.1881	11.3682	3.3421	3.3900	11.8493	11.8629
11	500.0000	550.0000	1.4655	1.0000	0.0000	1.3364	0.0000	0.1292	16.9848	4.0339	3.8464	17.4572	17.4149
12	550.0000	600.0000	1.2889	1.0000	0.0000	1.0697	0.0000	0.2192	18.7570	3.4329	3.9425	19.0686	19.1669
13	600.0000	650.0000	0.6410	0.0000	0.0000	0.5560	0.0000	0.0850	30.0235	2.3316	2.4371	30.1139	30.1223
14	650.0000	700.0000	0.8186	0.0000	0.0000	0.6250	0.0000	0.1936	23.3412	5.6926	5.7723	24.0254	24.0444
15	700.0000	750.0000	0.3752	2.0000	0.0000	0.3535	0.0000	0.0217	29.9827	4.4897	6.1899	30.3170	30.6150
16	750.0000	800.0000	0.1465	0.0000	0.0000	0.1870	0.0000	-0.0406	72.4781	1.3283	1.9573	72.4902	72.5045
17	800.0000	850.0000	0.1019	0.0000	0.0000	0.0959	0.0000	0.0060	64.9932	7.5865	9.7293	65.4345	65.7174
18	850.0000	900.0000	0.0211	0.0000	0.0000	0.0163	0.0000	0.0048	55.6800	59.7050	42.0583	81.6391	69.7793
19	900.0000	950.0000	0.0188	0.0000	0.0000	0.0163	0.0000	0.0025	63.0144	56.7822	41.3692	84.8236	75.3806
20	950.0000	1000.0000	0.1847	0.0000	0.0000	0.1489	0.0000	0.0358	36.0496	2.9757	6.3530	36.1722	36.6051
