Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR4000N100MM	WR4000N2100MM
1	0.0000	10.0000	0.0236	0.0000	0.0000	0.0000	0.0731	-0.0495	592.8666	204.3287	106.4841	627.0893	602.3534	204.3223	0.0000	0.0000	0.0000	0.5304	0.0000	0.1046	1.5271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	177.7008	72.0622	46.2655	191.7564	183.6248	72.0584	0.0000	0.0000	0.0000	0.2449	0.0000	0.3870	0.5732	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000
2	10.0000	20.0000	0.3668	0.0000	0.0000	-0.0107	0.3742	0.0032	43.7513	2.2814	6.2682	43.8107	44.1980	6.2411	0.0000	0.0000	0.0000	0.1936	0.0000	0.5216	0.1781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.0017	0.5638	3.2701	42.0055	42.1288	3.2213	0.0000	0.0000	0.0000	0.2007	0.0000	0.4869	0.2014	0.0000	0.0000	18.0069	2.3470	2.9056	18.1592	18.2398	2.1208	0.0000	0.0000	0.0000	0.4169	0.0000	1.9318	0.3999	0.0000	0.0000	0.0124	0.0002
3	20.0000	30.0000	0.5060	0.0000	0.0000	0.1322	0.3658	0.0079	41.0999	0.7520	3.8837	41.1068	41.2830	3.8123	0.0000	0.0000	0.0000	0.1690	0.0000	0.7114	0.1524	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.4045	10.2741	5.8833	59.3013	58.7000	10.2577	0.0000	0.0000	0.0000	0.0874	0.0000	0.5624	0.1130	0.0000	0.0000	52.6925	2.9364	9.8111	52.7743	53.5981	9.7801	0.0000	0.0000	0.0000	0.2101	0.0000	0.7326	0.1712	0.0000	0.0000	139.5220	37.0413	27.5266	144.3552	142.2114	36.9729	0.0000	0.0000	0.0000	0.3658	0.0000	2.2193	0.0618	0.0000	0.0000	0.0197	0.0004
4	30.0000	40.0000	0.6764	0.0000	0.0000	0.3241	0.3547	-0.0024	27.2801	3.9900	5.7883	27.5704	27.8875	5.7513	0.0000	0.0000	0.0000	0.1332	0.0000	0.6145	0.1847	0.9674	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.2414	0.8258	2.8522	37.2506	37.3505	2.7308	0.0000	0.0000	0.0000	0.1402	0.0000	0.7718	0.2580	0.0000	0.0000	39.1156	8.6926	8.6892	40.0699	40.0691	8.6738	0.0000	0.0000	0.0000	0.1231	0.0000	0.4906	0.1155	1.8448	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0277	0.0000
5	40.0000	50.0000	0.9613	0.0000	0.0000	0.0951	0.8355	0.0307	25.4424	5.4362	1.7956	26.0167	25.5057	5.4068	0.0000	0.0000	0.0000	0.0878	0.0000	0.5393	0.1427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	66.3673	3.2585	12.8022	66.4472	67.5908	12.7860	0.0000	0.0000	0.0000	0.0600	0.0000	0.6374	0.0690	0.0000	0.0000	28.1336	7.6861	2.3600	29.1646	28.2324	7.6666	0.0000	0.0000	0.0000	0.0894	0.0000	0.5191	0.1508	0.0000	0.0000	78.5953	0.8509	1.1280	78.5999	78.6034	0.8004	0.0000	0.0000	0.0000	0.1323	0.0000	0.7863	0.1511	0.0000	0.0000	0.0269	0.0000
6	50.0000	60.0000	0.7422	0.0000	0.0000	0.2727	0.4449	0.0247	25.2418	4.3058	2.9738	25.6065	25.4164	2.8791	0.0000	0.0000	0.0000	0.0751	0.0000	0.7349	0.1130	0.0000	3.9435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	40.1147	11.6580	12.5307	41.7744	42.0263	12.5104	0.0000	0.0000	0.0000	0.0463	0.0000	0.7082	0.0839	0.0000	0.0000	31.9715	14.2591	16.0831	35.0071	35.7888	16.0658	0.0000	0.0000	0.0000	0.0867	0.0000	0.7321	0.1263	0.0000	6.5792	218.4528	74.4799	42.5544	230.8005	222.5589	74.4716	0.0000	0.0000	0.0000	0.1840	0.0000	1.0790	0.1958	0.0000	0.0000	0.0338	0.0006
8	70.0000	80.0000	0.8048	0.0000	0.0000	0.1555	0.6170	0.0324	25.7872	5.2378	9.0155	26.3137	27.3177	8.9859	0.0000	0.0000	0.0000	0.1069	0.0000	0.7068	0.1656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.1366	10.4151	7.7083	53.1667	52.7034	10.3728	0.0000	0.0000	0.0000	0.0811	0.0000	0.9284	0.1104	0.0000	0.0000	28.8825	7.8563	12.6048	29.9319	31.5132	12.5845	0.0000	0.0000	0.0000	0.1215	0.0000	0.6783	0.2019	0.0000	0.0000	212.5437	16.5486	33.3112	213.1870	215.1382	33.3097	0.0000	0.0000	0.0000	0.0474	0.0000	0.1882	0.2603	0.0000	0.0000	0.0258	0.0012
9	80.0000	90.0000	0.9836	0.0000	0.0000	0.3588	0.6431	-0.0183	25.2586	1.8952	6.4984	25.3296	26.0812	6.4479	0.0000	0.0000	0.0000	0.1059	0.0000	0.7945	0.1316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.5394	4.9305	9.3660	34.8895	35.7868	9.3314	0.0000	0.0000	0.0000	0.1229	0.0000	0.7822	0.1581	0.0000	0.0000	32.8755	0.8109	3.3219	32.8855	33.0429	3.2221	0.0000	0.0000	0.0000	0.0862	0.0000	0.7988	0.1099	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0459	0.0013
10	90.0000	100.0000	1.0127	0.0000	0.0000	0.1957	0.6844	0.1326	25.9056	5.9304	9.6019	26.5757	27.6278	9.5729	0.0000	0.0000	0.0000	0.1316	0.0000	0.7214	0.1478	0.0000	1.5823	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.2485	3.2976	8.0716	45.3685	45.9628	8.0303	0.0000	0.0000	0.0000	0.1508	0.0000	0.7901	0.1393	0.0000	0.0000	34.1093	6.5101	10.7351	34.7250	35.7587	10.7141	0.0000	0.0000	0.0000	0.1164	0.0000	0.6480	0.1393	0.0000	2.3413	60.7470	7.4723	6.0469	61.2048	61.0472	7.4002	0.0000	0.0000	0.0000	0.1816	0.0000	0.9987	0.2040	0.0000	0.0000	0.0594	0.0011
11	100.0000	110.0000	0.9364	0.0000	0.0000	0.0764	0.8051	0.0548	25.7185	1.9385	5.0117	25.7915	26.2023	4.9521	0.0000	0.0000	0.0000	0.1568	0.0000	0.7415	0.1548	0.0129	0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.8338	13.2600	12.6809	54.4723	54.3343	13.2341	0.0000	0.0000	0.0000	0.1229	0.0000	0.8035	0.1576	0.0000	0.0000	29.3923	4.1173	7.5964	29.6792	30.3580	7.5613	0.0000	0.0000	0.0000	0.1531	0.0000	0.7002	0.1471	0.0000	0.0000	34.6721	8.1383	11.5856	35.6144	36.5565	11.5126	0.0000	0.0000	0.0000	0.2578	0.0000	1.2615	0.2639	0.2198	0.4213	0.0450	0.0012
