Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR4000N100MM	WR4000N2100MM
1	0.0000	10.0000	0.9475	0.0000	0.0000	0.8795	0.0656	0.0023	24.0220	1.4911	1.3152	24.0683	24.0580	0.6424	0.0000	0.0000	0.0000	0.2605	0.0000	1.2979	0.2413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.7787	2.2956	1.3625	24.8848	24.8161	1.8231	0.0000	0.0000	0.0000	0.2710	0.0000	1.3455	0.2496	0.0000	0.0000	100.0000	0.6784	15.3693	100.0023	101.1742	15.3544	0.0000	0.0000	0.0000	0.1191	0.0000	0.6552	0.1294	0.0000	0.0000	66.2170	5.6322	7.3585	66.4561	66.6247	7.2116	0.0000	0.0000	0.0000	0.2817	0.0000	1.4465	0.2737	0.0000	0.0000	0.0092	0.0000
2	10.0000	20.0000	1.8053	0.0000	0.0000	1.5970	0.2007	0.0076	15.9588	2.9856	1.0979	16.2357	15.9965	1.0671	0.0000	0.0000	0.0000	0.1744	0.0000	0.8423	0.1762	0.0000	2.6466	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.6811	3.6658	2.0391	16.1039	15.8132	1.9206	0.0000	0.0000	0.0000	0.1898	0.0000	0.8523	0.1882	0.0000	2.9918	70.9595	23.8902	21.0296	74.8732	74.0101	23.8787	0.0000	0.0000	0.0000	0.0464	0.0000	0.7389	0.0754	0.0000	0.0000	21.8401	8.6287	6.7704	23.4828	22.8654	8.4916	0.0000	0.0000	0.0000	0.3210	0.0000	1.4642	0.3166	0.0000	0.0000	0.0213	0.0000
3	20.0000	30.0000	2.4598	0.0000	0.0000	2.3139	0.0632	0.0826	13.8006	3.5389	1.5732	14.2472	13.8900	3.4134	0.0000	0.0000	0.0000	0.2118	0.0000	0.8855	0.2085	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.2270	4.4385	1.8157	14.9033	14.3424	4.3353	0.0000	0.0000	0.0000	0.2211	0.0000	0.8997	0.2165	0.0000	0.0000	100.0000	0.7955	8.5311	100.0032	100.3632	8.4941	0.0000	0.0000	0.0000	0.0672	0.0000	0.7893	0.0727	0.0000	0.0000	64.7554	11.0657	13.3130	65.6941	66.1098	13.3009	0.0000	0.0000	0.0000	0.0614	0.0000	0.5604	0.0865	0.0000	0.0000	0.0347	0.0003
4	30.0000	40.0000	3.5171	0.0000	0.0000	3.3690	0.1262	0.0219	11.5375	2.7073	2.3036	11.8509	11.7652	2.5701	0.0000	0.0000	0.0000	0.1173	0.0000	0.8050	0.1312	0.9848	0.9848	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.7970	1.7650	1.8985	11.9283	11.9488	1.5499	0.0000	0.0000	0.0000	0.1134	0.0000	0.7964	0.1294	1.0281	1.0281	62.2351	19.1059	13.4889	65.1017	63.6801	19.0811	0.0000	0.0000	0.0000	0.2020	0.0000	0.9369	0.1639	0.0000	0.0000	105.7695	64.2487	45.7258	123.7541	115.2304	64.2333	0.0000	0.0000	0.0000	0.2174	0.0000	1.3715	0.2053	0.0000	0.0000	0.0490	0.0003
5	40.0000	50.0000	5.6089	0.0000	0.4562	4.9346	0.1169	0.1013	11.9690	4.5599	3.6277	12.8082	12.5067	4.4323	0.0000	0.0000	0.0000	0.1816	0.0000	1.0381	0.1911	0.0000	0.0003	100.0000	18.8749	19.5049	101.7657	101.8845	19.4718	0.0000	0.0000	0.0000	0.2239	0.0000	1.1001	0.2135	0.0000	0.0000	9.7336	3.9486	3.5763	10.5040	10.3698	3.7997	0.0000	0.0000	0.0000	0.1800	0.0000	1.0418	0.1908	0.0000	0.0000	62.7391	54.9524	24.8437	83.4024	67.4789	54.9462	0.0000	0.0000	0.0000	0.0840	0.0000	0.8106	0.0926	0.0000	0.0000	79.5804	4.2257	1.7170	79.6925	79.5989	4.1310	0.0000	0.0000	0.0000	0.1815	0.0000	0.8427	0.2194	0.0000	0.0194	0.0381	0.0001
6	50.0000	60.0000	6.2519	0.0000	0.0000	5.8782	0.3145	0.0591	9.0394	3.5784	4.4209	9.7219	10.0626	4.3226	0.0000	0.0000	0.0000	0.1422	0.0000	0.9065	0.1593	0.0000	0.8231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3295	4.1361	5.0941	10.2052	10.6296	5.0076	0.0000	0.0000	0.0000	0.1467	0.0000	0.9126	0.1626	0.0000	0.8754	42.3616	8.6423	7.5090	43.2342	43.0220	8.6042	0.0000	0.0000	0.0000	0.0528	0.0000	0.8027	0.0932	0.0000	0.0000	49.8604	3.7211	5.0566	49.9990	50.1161	4.9811	0.0000	0.0000	0.0000	0.1670	0.0000	0.8468	0.1794	0.0000	0.0000	0.0539	0.0006
7	60.0000	70.0000	6.9617	0.0000	0.0000	6.8652	0.0721	0.0244	8.3681	2.2455	2.4578	8.6641	8.7216	2.2167	0.0000	0.0000	0.0000	0.1421	0.0000	0.9068	0.1687	0.0000	0.5159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3600	2.5226	2.7456	8.7323	8.7993	2.5305	0.0000	0.0000	0.0000	0.1423	0.0000	0.9070	0.1692	0.0000	0.5231	137.4111	32.2334	28.6808	141.1411	140.3724	32.2250	0.0000	0.0000	0.0000	0.0348	0.0000	0.7313	0.0767	0.0000	0.0000	51.2992	8.2608	15.8088	51.9601	53.6799	15.7423	0.0000	0.0000	0.0000	0.3895	0.0000	1.3833	0.2962	0.0000	0.0000	0.0590	0.0007
8	70.0000	80.0000	6.8454	0.0000	0.0000	6.3821	0.4331	0.0302	8.2743	1.5570	1.7246	8.4195	8.4521	0.8366	0.0000	0.0000	0.0000	0.1801	0.0000	0.9488	0.1897	1.1472	0.9177	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.4641	1.4656	1.6209	8.5900	8.6179	0.3994	0.0000	0.0000	0.0000	0.1865	0.0000	0.9736	0.1920	1.2305	0.9843	39.2649	6.5170	8.2698	39.8021	40.1263	8.2490	0.0000	0.0000	0.0000	0.0833	0.0000	0.5614	0.1531	0.0000	0.0000	32.2043	1.3166	4.4873	32.2312	32.5154	2.8506	0.0000	0.0000	0.0000	0.2146	0.0000	1.2768	0.2336	2.2704	2.2704	0.0608	0.0011
9	80.0000	90.0000	6.5979	0.0000	-0.3620	6.4419	0.4046	0.1133	10.2453	3.6263	3.8813	10.8681	10.9558	3.7461	0.0000	0.0000	0.0000	0.2498	0.0000	0.9612	0.2522	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.4877	2.0683	2.2044	8.7360	8.7692	1.9164	0.0000	0.0000	0.0000	0.2577	0.0000	1.0366	0.2596	0.0000	0.0000	35.9404	0.5070	4.1618	35.9439	36.1805	4.1309	0.0000	0.0000	0.0000	0.0718	0.0000	0.4927	0.0956	0.0000	0.0000	67.3193	5.6690	1.2004	67.5576	67.3300	5.5369	0.0000	0.0000	0.0000	0.3614	0.0000	1.0724	0.4463	0.0000	0.1163	0.0595	0.0008
10	90.0000	100.0000	8.7269	0.0000	1.4939	6.5516	0.5705	0.1108	18.4280	1.4803	1.3297	18.4874	18.4760	0.3086	0.0000	0.0000	0.0000	0.1673	0.0000	0.9929	0.1674	0.1940	1.0722	100.0000	10.9582	14.3182	100.5986	101.0198	14.2118	0.0000	0.0000	0.0000	0.2247	0.0000	1.7270	0.2150	0.0000	0.0000	8.5832	3.7636	2.8995	9.3721	9.0597	3.3665	0.0000	0.0000	0.0000	0.1553	0.0000	0.8651	0.1579	0.2568	1.4263	33.4389	0.5828	7.5341	33.4440	34.2771	7.5116	0.0000	0.0000	0.0000	0.1507	0.0000	0.5440	0.1448	0.0000	0.0000	38.4528	6.9999	5.6590	39.0848	38.8670	6.9269	0.0000	0.0000	0.0000	0.1858	0.0000	0.9645	0.2020	0.0934	0.1071	0.0741	0.0009
