Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	57.9460	0.0000	1.1873	51.7545	2.0957	2.9085	10.2978	4.8638	4.7310	11.3887	11.3326
3	100.0000	150.0000	56.5113	0.0000	2.4508	51.1325	0.6864	2.2416	14.6797	6.2483	6.1550	15.9542	15.9179
4	150.0000	200.0000	56.7655	0.0000	22.0103	32.8297	0.4333	1.4922	13.8441	5.9750	6.0143	15.0784	15.0940
5	200.0000	250.0000	23.2827	0.0000	9.4128	12.2195	0.1615	1.4889	29.6813	11.1399	8.6986	31.7029	30.9297
6	250.0000	300.0000	4.5214	0.0000	-1.1821	4.9027	0.1041	0.6967	121.2898	3.1704	7.8073	121.3312	121.5408
7	300.0000	350.0000	8.9284	0.0000	6.9693	1.7647	0.0000	0.1944	50.1429	12.9103	9.6228	51.7783	51.0579
9	400.0000	450.0000	1.9176	0.0000	1.7817	0.1278	0.0000	0.0081	101.9036	24.5336	23.7599	104.8153	104.6369
10	450.0000	500.0000	0.1564	0.0000	0.0000	0.1057	0.0000	0.0507	58.2377	4.3510	9.6091	58.4000	59.0251
12	550.0000	600.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0019	23.3603	7.9901	8.1577	24.6890	24.7437
15	700.0000	750.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0005	43.4316	15.3961	7.1863	46.0798	44.0222
16	750.0000	800.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0006	43.7100	4.4950	4.0034	43.9405	43.8930
17	800.0000	850.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0005	47.8051	14.0138	8.7217	49.8168	48.5942
18	850.0000	900.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	94.3227	13.4699	22.4775	95.2796	96.9639
19	900.0000	950.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	100.0000	18.5976	14.2588	101.7147	101.0115
20	950.0000	1000.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	60.4926	4.8267	3.8512	60.6849	60.6151
