Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	50.0000	100.0000	11.9511	0.0000	0.0000	11.3374	0.1667	0.4471	6.5613	0.7443	0.7900	6.6033	6.6086
3	100.0000	150.0000	43.7449	0.0000	2.9072	38.4321	1.0235	1.3821	5.6210	0.9503	1.2416	5.7008	5.7565
4	150.0000	200.0000	56.1894	0.0000	5.9527	47.6251	0.8990	1.7127	7.6481	2.3203	1.8277	7.9923	7.8634
5	200.0000	250.0000	59.2357	0.0000	13.8514	43.0673	0.5864	1.7306	11.3821	1.9130	1.7072	11.5417	11.5094
6	250.0000	300.0000	38.2938	0.0000	3.3095	32.5654	0.5306	1.8882	16.3644	4.4660	4.3971	16.9629	16.9448
7	300.0000	350.0000	32.3686	0.0000	9.4203	21.2548	0.1897	1.5038	18.8055	1.6924	1.2351	18.8815	18.8460
8	350.0000	400.0000	16.5299	0.0000	2.5091	12.9361	0.1231	0.9617	36.7743	4.6090	6.8588	37.0620	37.4084
9	400.0000	450.0000	13.0972	0.0000	5.8331	6.4863	0.0649	0.7130	42.0112	3.6074	3.4575	42.1658	42.1532
10	450.0000	500.0000	13.9940	0.0000	9.4854	4.0394	0.0433	0.4260	29.3682	5.2814	5.8978	29.8394	29.9546
11	500.0000	550.0000	2.9569	0.0000	0.8587	1.7843	0.0624	0.2515	85.0806	29.3178	19.5792	89.9902	87.3043
12	550.0000	600.0000	1.1159	0.0000	-0.4808	1.1751	0.0000	0.4217	208.3588	47.3638	52.3478	213.6743	214.8341
13	600.0000	650.0000	3.7576	0.0000	3.0020	0.5821	0.0000	0.1735	56.7545	12.7526	11.6648	58.1696	57.9408
14	650.0000	700.0000	0.0345	0.0000	-0.1949	0.2299	0.0000	-0.0005	657.9915	274.8224	517.8910	713.0780	837.3554
15	700.0000	750.0000	3.3451	0.0000	3.0519	0.2620	0.0000	0.0311	64.6142	14.4978	13.3643	66.2207	65.9818
17	800.0000	850.0000	0.0936	0.0000	0.0000	0.0482	0.0000	0.0454	44.8760	6.0930	4.8703	45.2878	45.1395
18	850.0000	900.0000	0.0493	0.0000	0.0000	0.0308	0.0000	0.0185	65.6509	22.5670	30.0616	69.4212	72.2062
19	900.0000	950.0000	0.0286	0.0000	0.0000	0.0219	0.0000	0.0067	76.6815	13.8793	10.7067	77.9274	77.4253
20	950.0000	1000.0000	0.1378	0.0000	0.0707	0.0301	0.0000	0.0370	54.3816	88.1614	44.3354	103.5847	70.1640
