Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	30.8728	0.0000	3.7847	26.2525	0.2514	0.5843	13.1004	1.4602	1.0247	13.1816	13.1405
2	50.0000	100.0000	69.3473	0.0000	7.7697	58.6695	1.2221	1.6860	10.7138	1.8252	1.8807	10.8682	10.8777
3	100.0000	150.0000	69.6026	0.0000	15.0736	51.4589	0.9984	2.0717	8.8850	1.1458	1.1783	8.9586	8.9628
4	150.0000	200.0000	50.8011	0.0000	14.5639	33.9166	0.4704	1.8502	12.8922	1.3453	1.3766	12.9622	12.9655
5	200.0000	250.0000	32.6151	0.0000	7.8080	22.7777	0.4347	1.5946	19.3052	0.7934	0.7890	19.3215	19.3213
6	250.0000	300.0000	17.2703	0.0000	3.7396	12.0009	0.1657	1.3641	19.1159	3.4678	6.0336	19.4279	20.0455
7	300.0000	350.0000	5.2351	0.0000	-2.3348	6.6731	0.0000	0.8968	105.1615	6.2839	3.0774	105.3491	105.2065
8	350.0000	400.0000	8.1461	0.0000	3.4901	4.0360	0.0763	0.5436	43.7337	12.6437	9.5107	45.5248	44.7559
9	400.0000	450.0000	3.2574	0.0000	0.0907	2.7609	0.0000	0.4058	23.5399	4.1908	3.0994	23.9101	23.7431
10	450.0000	500.0000	0.4928	0.0000	-1.1209	1.3459	0.0000	0.2677	233.7051	46.1621	20.5034	238.2205	234.6028
11	500.0000	550.0000	3.1134	0.0000	1.9791	0.9306	0.0706	0.1331	49.7238	5.4292	4.2926	50.0193	49.9087
12	550.0000	600.0000	0.4775	0.0000	0.0000	0.3379	0.0000	0.1396	29.7532	9.9019	5.7861	31.3577	30.3106
13	600.0000	650.0000	0.6148	0.0000	0.1009	0.4159	0.0000	0.0979	30.0216	18.6553	6.6481	35.3457	30.7489
14	650.0000	700.0000	1.3848	0.0000	1.1582	0.1937	0.0000	0.0328	109.3831	27.0659	30.7077	112.6820	113.6117
15	700.0000	750.0000	0.1949	0.0000	0.0000	0.1556	0.0000	0.0393	32.2600	10.6571	6.0366	33.9747	32.8199
16	750.0000	800.0000	1.7118	0.0000	1.5739	0.1245	0.0000	0.0134	92.0246	13.9454	13.1584	93.0753	92.9606
17	800.0000	850.0000	0.0337	0.0000	0.0000	0.0237	0.0000	0.0100	65.6451	8.0114	4.1646	66.1322	65.7771
18	850.0000	900.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0035	18.3443	5.0038	4.9050	19.0146	18.9888
19	900.0000	950.0000	0.0348	0.0000	0.0000	0.0155	0.0000	0.0193	64.0777	19.5233	29.3476	66.9859	70.4786
20	950.0000	1000.0000	0.1419	0.0000	0.0707	0.0381	0.0000	0.0331	54.2353	81.4340	36.9260	97.8415	65.6125
