Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	25.8000	0.0000	6.8732	18.5052	0.1625	0.2591	17.2925	7.0769	7.1450	18.6845	18.7104
2	50.0000	100.0000	36.7157	0.0000	-5.0320	39.7387	0.7366	1.2723	19.2237	10.0036	11.7539	21.6708	22.5323
3	100.0000	150.0000	45.1655	0.0000	5.0887	38.0302	0.8636	1.1830	13.6620	8.1751	7.7754	15.9211	15.7196
4	150.0000	200.0000	33.4900	0.0000	8.2754	22.7231	0.6855	1.8060	21.6274	6.1906	6.5128	22.4960	22.5868
5	200.0000	250.0000	24.7940	0.0000	7.8990	15.0100	0.4484	1.4366	21.9754	6.5183	5.7545	22.9217	22.7163
6	250.0000	300.0000	4.8294	0.0000	-4.6247	8.2196	0.0758	1.1587	103.8449	9.2886	6.9210	104.2595	104.0753
7	300.0000	350.0000	6.3472	0.0000	0.3202	5.5149	0.1122	0.3999	50.7694	6.5510	6.1580	51.1903	51.1415
8	350.0000	400.0000	14.4052	0.0000	10.7240	3.0761	0.1871	0.4180	37.5764	4.8219	4.9005	37.8845	37.8946
9	400.0000	450.0000	6.7675	0.0000	4.2143	1.8526	0.1776	0.5230	34.1625	6.9645	9.0606	34.8652	35.3436
10	450.0000	500.0000	5.0242	0.0000	4.0202	0.8555	0.0000	0.1485	49.4342	7.1057	5.5146	49.9422	49.7408
11	500.0000	550.0000	1.0706	0.0000	0.2988	0.6063	0.0233	0.1422	25.8614	34.6552	17.7748	43.2411	31.3808
12	550.0000	600.0000	1.9775	0.0000	1.4822	0.4557	0.0083	0.0314	75.2603	3.3667	10.6271	75.3355	76.0069
13	600.0000	650.0000	2.2552	0.0000	1.7309	0.3729	0.0000	0.1514	77.0591	13.5974	15.5744	78.2496	78.6173
14	650.0000	700.0000	0.2846	0.0000	0.0000	0.1527	0.0000	0.1319	38.1431	4.8894	5.7276	38.4552	38.5707
15	700.0000	750.0000	0.1455	0.0000	0.0000	0.1155	0.0000	0.0300	49.8211	6.3976	7.4605	50.2301	50.3766
16	750.0000	800.0000	0.3018	0.0000	0.1513	0.1414	0.0000	0.0091	58.6872	57.1994	26.2186	81.9509	64.2775
17	800.0000	850.0000	0.0152	0.0000	0.0000	0.0087	0.0000	0.0065	58.1431	38.9970	30.7864	70.0100	65.7908
18	850.0000	900.0000	0.0715	0.0000	0.0000	0.0659	0.0000	0.0057	56.9009	7.5305	5.8150	57.3970	57.1972
19	900.0000	950.0000	0.0407	0.0000	0.0000	0.0322	0.0000	0.0084	69.6320	5.3126	3.7813	69.8344	69.7346
20	950.0000	1000.0000	0.0142	0.0000	0.0000	0.0000	0.0000	0.0142	18.4773	9.0538	6.2211	20.5763	19.4965
