Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,67000,100.0,0.0,100.0
2,Met filter,67000,100.0,0.0,100.0
3,"2 tight lep, pt,eta,id,iso",52556,78.4,21.6,78.4
4,Trigger pass,52184,77.9,0.7,99.3
5,"Jet >=2 , pt ,eta",48937,73.0,6.2,93.8
6,4 object separation,48757,72.8,0.4,99.6
7,m(ll) > 200,48757,72.8,0.0,100.0
8,WR mass 800,48757,72.8,0.0,100.0
9,m(ll) > 400,47506,70.9,2.6,97.4
