Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,260.08,100.0,0.0,100.0
2,Met filter,259.71,99.9,0.1,99.9
3,"2 tight lep, pt,eta,id,iso",82.70,31.8,68.2,31.8
4,Trigger pass,82.70,31.8,0.0,100.0
5,"Jet >=2, pt, eta",80.40,30.9,2.8,97.2
6,4 object separation,78.28,30.1,2.6,97.4
7,m(ll) > 200,72.96,28.1,6.8,93.2
8,WR mass 800,72.96,28.1,0.0,100.0
9,m(ll) > 400,71.47,27.5,2.0,98.0
