Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
1	0.0000	50.0000	79.3717	60.0000	50.4655	26.8691	0.4220	1.6151	17.1437	2.4155	3.5062	17.3131	17.4986
2	50.0000	100.0000	458.4272	391.0000	390.2444	59.9787	0.7613	7.4427	9.1519	2.4727	3.0136	9.4801	9.6353
3	100.0000	150.0000	1944.2040	1810.0000	1786.2071	133.0154	1.9762	23.0053	4.7963	2.2827	1.8450	5.3119	5.1389
4	150.0000	200.0000	2593.7930	2318.0000	2438.4564	111.5078	1.5275	42.3013	4.1711	22.5574	22.5557	22.9397	22.9381
5	200.0000	250.0000	2291.6950	2140.0000	2185.1090	61.3023	0.7684	44.5153	4.5102	77.5036	77.5148	77.6347	77.6459
6	250.0000	300.0000	1977.5878	1849.0000	1905.0858	29.4446	0.4026	42.6548	4.8702	99.7942	99.7858	99.9130	99.9046
7	300.0000	350.0000	1442.1522	1468.0000	1392.7451	12.2440	0.3440	36.8191	5.7753	100.0186	100.0251	100.1852	100.1917
8	350.0000	400.0000	1190.0412	1168.0000	1151.7043	4.6894	0.0933	33.5541	6.1668	100.0189	100.0168	100.2088	100.2067
9	400.0000	450.0000	839.1117	721.0000	813.0170	1.5261	0.0422	24.5263	7.1544	100.0507	100.0305	100.3062	100.2860
10	450.0000	500.0000	296.9759	324.0000	284.4020	0.5469	0.0000	12.0270	12.6146	100.0558	100.0204	100.8478	100.8127
11	500.0000	550.0000	153.4438	115.0000	148.0148	0.3023	0.0000	5.1267	14.7826	100.0678	100.0116	101.1538	101.0982
12	550.0000	600.0000	85.1005	52.0000	82.8349	0.0693	0.0000	2.1963	19.5735	100.1107	100.1343	102.0063	102.0294
13	600.0000	650.0000	11.9830	25.0000	10.9116	0.1064	0.0461	0.9190	81.2964	100.0315	100.1260	128.9008	128.9741
14	650.0000	700.0000	15.5535	15.0000	14.8876	0.0682	0.0000	0.5977	41.9343	100.0191	100.3029	108.4541	108.7159
15	700.0000	750.0000	2.0908	10.0000	2.0764	0.0000	0.0000	0.0143	239.6733	153.3897	113.3916	284.5552	265.1433
