Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct
2	40.0000	100.0000	363.6584	338.0000	345.7925	11.8100	0.2979	5.7580	11.3355	20.8580	20.8189	23.7392	23.7049
3	100.0000	200.0000	3134.9095	3189.0000	2972.0294	95.2828	1.7663	65.8310	3.9789	43.6835	43.6899	43.8644	43.8708
4	200.0000	400.0000	7610.1112	6909.0000	7255.3018	204.3092	2.8004	147.6997	2.4321	68.5630	68.5613	68.6062	68.6044
5	400.0000	600.0000	1968.1266	1708.0000	1821.7219	96.4963	1.2501	48.6582	4.5289	76.2699	76.2649	76.4042	76.3993
6	600.0000	800.0000	242.6898	263.0000	207.4940	27.0921	0.2645	7.8392	12.5908	69.2254	69.2007	70.3611	70.3368
7	800.0000	1000.0000	45.2520	43.0000	39.2589	5.1239	-0.0353	0.9045	27.3782	79.7981	79.8841	84.3641	84.4455
8	1000.0000	1500.0000	11.3584	20.0000	9.1292	1.5563	0.0398	0.6331	61.3582	44.9532	58.2108	76.0632	84.5773
9	1500.0000	2000.0000	3.5018	2.0000	3.4981	0.0000	0.0000	0.0037	70.7580	19.1011	17.3736	73.2909	72.8597
